online_order_id,online_customer_id,order_datetime,order_status,sales_channel,fulfilment_type,store_id,delivery_fee,discount_amount,payment_type,product_id
80036,10496,29/03/2024 19:17,Cancelled,Web,Pickup,3,0,0.65,PayPal,928
80037,10419,06/03/2024 04:23,Preparing,Web,Pickup,3,0,1.36,Mobile Wallet,286
80038,10014,20/03/2024 22:54,Completed,Web,Pickup,2,0,1.64,PayPal,485
80039,10345,29/03/2024 19:46,Completed,Web,Pickup,2,0,0.51,Card,100
80040,10367,04/03/2024 08:47,Cancelled,Mobile App,Pickup,,0,1.16,Mobile Wallet,747
80041,10260,17/03/2024 08:42,Placed,Web,Pickup,1,0,1.54,Mobile Wallet,746
80042,10341,30/03/2024 10:41,Placed,Mobile App,Pickup,2,0,1.93,PayPal,195
80043,10495,01/03/2024 11:31,Placed,Mobile App,Pickup,1,0,0.44,Mobile Wallet,256
80044,10266,21/03/2024 06:54,Completed,Mobile App,Delivery,,2.39,1.36,Mobile Wallet,554
80045,10257,16/03/2024 16:47,Placed,Mobile App,Delivery,,1.31,0.83,Card,498
80046,10060,16/03/2024 20:28,Completed,Mobile App,Delivery,,2.37,0.41,PayPal,389
80047,10179,20/03/2024 22:35,Cancelled,Mobile App,Pickup,1,0,0.13,Card,434
80048,10415,02/03/2024 00:40,Completed,Web,Delivery,,3.03,0.33,Mobile Wallet,60
80049,10125,26/03/2024 02:49,Preparing,Mobile App,Delivery,,2.68,1.92,Card,489
80050,10409,09/03/2024 11:35,Cancelled,Mobile App,Pickup,2,0,0.06,Mobile Wallet,610
80051,10453,21/03/2024 11:03,Cancelled,Mobile App,Delivery,,1.01,0.43,PayPal,965
80052,10386,27/03/2024 06:37,Placed,Web,Delivery,,2.1,0.39,Card,430
80053,10135,28/03/2024 04:03,Cancelled,Mobile App,Pickup,3,0,1.17,PayPal,272
80054,10181,14/03/2024 12:53,Placed,Web,Pickup,2,0,0.63,Card,952
80055,10157,09/03/2024 07:56,Completed,Web,Delivery,,2.53,0.84,Card,219
80056,10295,09/03/2024 10:53,Cancelled,Web,Pickup,,0,1.11,PayPal,251
80057,10148,09/03/2024 12:21,Completed,Mobile App,Delivery,,2.86,1.73,Card,310
80058,10249,09/03/2024 21:07,Cancelled,Mobile App,Delivery,,2.23,0.98,Mobile Wallet,900
80059,10431,08/03/2024 14:41,Placed,Web,Pickup,,0,1.59,Card,279
80060,10150,13/03/2024 12:12,Preparing,Mobile App,Delivery,,1.5,0.91,Mobile Wallet,650
80061,10396,27/03/2024 01:33,Placed,Mobile App,Pickup,1,0,1.55,PayPal,650
80062,10278,21/03/2024 02:05,Preparing,Mobile App,Delivery,,1.31,1.66,Card,790
80063,10153,21/03/2024 11:13,Completed,Mobile App,Delivery,,3.59,0.17,Card,453
80064,10398,10/03/2024 13:14,Completed,Mobile App,Delivery,,1.5,0.28,Card,905
80065,10417,03/03/2024 16:50,Completed,Mobile App,Delivery,,2.79,0.34,Mobile Wallet,152
80066,10150,24/03/2024 09:52,Placed,Web,Pickup,3,0,1.93,PayPal,956
80067,10471,13/03/2024 14:54,Preparing,Web,Delivery,,1.75,1.42,Card,106
80068,10390,07/03/2024 11:17,Completed,Mobile App,Pickup,,0,0.75,Card,159
80069,10325,19/03/2024 08:01,Completed,Mobile App,Delivery,,2.36,0.98,Mobile Wallet,184
80070,10002,21/03/2024 20:44,Completed,Web,Delivery,,3.39,0.8,PayPal,164
80071,10423,23/03/2024 12:21,Completed,Mobile App,Delivery,,3.49,0.68,Mobile Wallet,205
80072,10067,03/03/2024 04:52,Placed,Web,Pickup,3,0,1.25,PayPal,676
80073,10009,08/03/2024 04:33,Cancelled,Mobile App,Delivery,,1,1.92,Card,792
80074,10353,30/03/2024 13:58,Completed,Web,Delivery,,3.62,1.75,Card,962
80075,10336,04/03/2024 18:01,Completed,Web,Pickup,3,0,0.1,Mobile Wallet,986
80076,10157,20/03/2024 12:50,Placed,Web,Delivery,,1,0.95,Card,806
80077,10304,24/03/2024 15:22,Cancelled,Web,Delivery,,1.02,0.69,Card,591
80078,10441,22/03/2024 17:46,Placed,Web,Pickup,2,0,0.77,Mobile Wallet,948
80079,10413,05/03/2024 16:43,Completed,Mobile App,Delivery,,3.64,0.27,Card,322
80080,10329,04/03/2024 02:43,Placed,Web,Delivery,,2.32,1.44,Mobile Wallet,683
80081,10384,19/03/2024 17:41,Cancelled,Web,Delivery,,1.26,0.2,Card,197
80082,10302,20/03/2024 13:00,Completed,Web,Pickup,3,0,0.5,Mobile Wallet,583
80083,10044,26/03/2024 04:27,Completed,Web,Delivery,,3.54,1.32,PayPal,216
80084,10106,18/03/2024 19:53,Completed,Web,Delivery,,3.35,1.59,Card,453
80085,10254,11/03/2024 23:19,Cancelled,Web,Pickup,1,0,1.06,Card,528
80086,10185,18/03/2024 14:31,Cancelled,Mobile App,Pickup,2,0,1.09,Card,826
80087,10391,01/03/2024 18:13,Placed,Web,Pickup,1,0,0.52,Card,626
80088,10473,19/03/2024 02:41,Completed,Mobile App,Delivery,,2.27,0.8,Mobile Wallet,410
80089,10275,13/03/2024 15:04,Placed,Mobile App,Delivery,,1.24,1.84,Card,436
80090,10275,27/03/2024 16:32,Placed,Mobile App,Pickup,,0,1.4,Mobile Wallet,256
80091,10489,03/03/2024 15:14,Preparing,Web,Delivery,,3.77,0.23,Mobile Wallet,610
80092,10312,15/03/2024 01:49,Preparing,Web,Delivery,,1.04,0.27,Card,737
80093,10084,24/03/2024 19:15,Completed,Web,Pickup,3,0,0.74,Mobile Wallet,883
80094,10400,02/03/2024 08:03,Completed,Mobile App,Pickup,1,0,0.54,Card,797
80095,10135,23/03/2024 13:55,Cancelled,Mobile App,Delivery,,1.17,1.72,Card,731
80096,10189,12/03/2024 14:39,Placed,Web,Delivery,,1.69,1.02,Card,554
80097,10440,12/03/2024 03:06,Placed,Mobile App,Delivery,,2.09,1.84,Card,157
80098,10477,26/03/2024 03:52,Cancelled,Web,Delivery,,1.97,0.83,Mobile Wallet,478
80099,10164,27/03/2024 00:16,Completed,Web,Pickup,1,0,1,Card,789
80100,10092,24/03/2024 11:21,Placed,Mobile App,Delivery,,1.21,0.93,PayPal,966
80101,10397,04/03/2024 22:21,Cancelled,Web,Pickup,3,0,0.74,PayPal,766
80102,10289,22/03/2024 02:43,Completed,Mobile App,Pickup,2,0,2,Card,30
80103,10376,07/03/2024 20:27,Placed,Mobile App,Delivery,,1.07,1.08,Mobile Wallet,479
80104,10430,16/03/2024 05:55,Placed,Mobile App,Delivery,,3.55,1.45,Card,578
80105,10106,20/03/2024 02:33,Cancelled,Web,Delivery,,3.92,0.28,PayPal,473
80106,10048,11/03/2024 12:49,Cancelled,Mobile App,Delivery,,2.38,1.5,Mobile Wallet,466
80107,10049,30/03/2024 00:00,Cancelled,Web,Delivery,,2.78,0.12,Mobile Wallet,975
80108,10494,11/03/2024 18:37,Completed,Mobile App,Delivery,,3.55,1.85,PayPal,768
80109,10359,21/03/2024 14:31,Completed,Web,Pickup,3,0,0.15,Card,71
80110,10070,08/03/2024 01:44,Placed,Web,Delivery,,2.35,0.63,Card,21
80111,10275,21/03/2024 13:36,Completed,Mobile App,Pickup,2,0,0.53,Card,971
80112,10047,14/03/2024 20:17,Placed,Web,Delivery,,3.51,0.66,Card,621
80113,10365,17/03/2024 04:33,Cancelled,Web,Delivery,,3.03,0.52,Card,593
80114,10016,26/03/2024 07:14,Preparing,Web,Pickup,,0,0.92,Card,733
80115,10063,03/03/2024 19:21,Preparing,Web,Delivery,,1.59,0.8,Mobile Wallet,792
80116,10323,27/03/2024 12:03,Completed,Web,Delivery,,1.07,0.13,Mobile Wallet,43
80117,10228,05/03/2024 04:27,Completed,Web,Delivery,,1.13,0.92,Card,664
80118,10474,23/03/2024 13:54,Placed,Mobile App,Pickup,,0,1.37,Card,444
80119,10182,09/03/2024 12:25,Completed,Mobile App,Delivery,,2.34,0.3,Mobile Wallet,181
80120,10318,30/03/2024 11:00,Completed,Mobile App,Delivery,,2.24,1.1,Card,846
80121,10045,07/03/2024 05:53,Cancelled,Web,Pickup,,0,1.29,Mobile Wallet,903
80122,10128,18/03/2024 09:47,Completed,Mobile App,Delivery,,2.63,0.97,Mobile Wallet,685
80123,10258,13/03/2024 07:23,Preparing,Web,Pickup,,0,0.64,Card,500
80124,10016,22/03/2024 11:12,Completed,Web,Pickup,1,0,1.95,Card,902
80125,10127,13/03/2024 03:07,Placed,Web,Delivery,,2.73,1.97,PayPal,738
80126,10182,09/03/2024 00:20,Preparing,Mobile App,Delivery,,3.42,1.4,Mobile Wallet,729
80127,10015,26/03/2024 15:03,Preparing,Mobile App,Pickup,2,0,1.08,Card,227
80128,10252,05/03/2024 02:35,Placed,Web,Delivery,,2.8,0.04,PayPal,485
80129,10001,06/03/2024 22:31,Completed,Web,Pickup,2,0,1.84,PayPal,465
80130,10031,07/03/2024 17:20,Preparing,Web,Delivery,,3.54,1.72,Card,198
80131,10192,16/03/2024 07:36,Completed,Mobile App,Pickup,1,0,0.27,Card,757
80132,10375,30/03/2024 13:04,Completed,Web,Pickup,,0,1.41,Mobile Wallet,199
80133,10356,27/03/2024 19:17,Preparing,Mobile App,Pickup,2,0,0.61,Mobile Wallet,726
80134,10151,09/03/2024 02:06,Placed,Mobile App,Delivery,,3.55,1.54,Mobile Wallet,715
80135,10017,28/03/2024 09:58,Completed,Web,Delivery,,2.92,0.21,PayPal,13
80136,10073,11/03/2024 19:57,Completed,Mobile App,Pickup,1,0,0.34,Card,989
80137,10421,01/03/2024 12:26,Completed,Web,Pickup,,0,0.5,Card,67
80138,10180,01/03/2024 01:23,Placed,Mobile App,Pickup,1,0,0.88,PayPal,831
80139,10497,19/03/2024 20:13,Cancelled,Mobile App,Delivery,,2.05,0.75,PayPal,783
80140,10404,08/03/2024 09:39,Cancelled,Web,Delivery,,3.4,0.07,Card,462
80141,10164,04/03/2024 09:02,Completed,Web,Pickup,1,0,1.78,Card,636
80142,10375,25/03/2024 21:31,Placed,Mobile App,Delivery,,2.78,1.23,PayPal,217
80143,10361,20/03/2024 15:07,Preparing,Mobile App,Delivery,,1.47,0.2,Card,566
80144,10499,19/03/2024 15:02,Completed,Mobile App,Delivery,,1.89,0.19,PayPal,609
80145,10293,03/03/2024 11:32,Completed,Web,Pickup,2,0,0.86,PayPal,290
80146,10422,05/03/2024 09:56,Placed,Web,Pickup,2,0,0.34,PayPal,811
80147,10042,15/03/2024 00:48,Cancelled,Mobile App,Pickup,1,0,0.98,Mobile Wallet,273
80148,10136,30/03/2024 05:05,Cancelled,Web,Delivery,,2.11,0.76,Card,767
80149,10229,12/03/2024 23:35,Cancelled,Mobile App,Delivery,,1.79,1.67,Mobile Wallet,413
80150,10032,05/03/2024 09:37,Placed,Mobile App,Delivery,,3.42,0.83,Mobile Wallet,613
80151,10117,18/03/2024 14:49,Cancelled,Mobile App,Delivery,,2.72,0.47,PayPal,27
80152,10041,23/03/2024 20:25,Preparing,Web,Pickup,1,0,1.9,PayPal,42
80153,10089,10/03/2024 15:26,Preparing,Web,Delivery,,1.13,0.16,Mobile Wallet,600
80154,10223,29/03/2024 13:05,Preparing,Mobile App,Delivery,,1.96,1.45,Card,357
80155,10045,26/03/2024 02:59,Completed,Mobile App,Pickup,,0,1.04,Card,422
80156,10403,19/03/2024 20:40,Preparing,Web,Pickup,1,0,1.13,Mobile Wallet,466
80157,10389,05/03/2024 19:22,Placed,Mobile App,Delivery,,3.6,1.76,PayPal,792
80158,10136,27/03/2024 00:48,Cancelled,Web,Pickup,,0,0.34,PayPal,424
80159,10074,19/03/2024 00:18,Completed,Web,Pickup,1,0,0.1,PayPal,511
80160,10472,01/03/2024 22:05,Completed,Mobile App,Pickup,3,0,0.62,PayPal,135
80161,10440,11/03/2024 08:59,Preparing,Mobile App,Delivery,,3.92,0.89,PayPal,997
80162,10138,09/03/2024 13:16,Cancelled,Web,Pickup,1,0,1.83,PayPal,566
80163,10380,03/03/2024 13:23,Preparing,Web,Pickup,3,0,0.62,Mobile Wallet,121
80164,10207,24/03/2024 20:39,Placed,Web,Delivery,,1.58,1.67,Card,280
80165,10128,21/03/2024 18:33,Placed,Mobile App,Delivery,,3.11,0.55,PayPal,565
80166,10259,02/03/2024 09:22,Preparing,Mobile App,Pickup,1,0,0.98,PayPal,792
80167,10091,16/03/2024 16:00,Preparing,Mobile App,Pickup,3,0,1.5,Mobile Wallet,744
80168,10047,18/03/2024 14:13,Placed,Web,Pickup,1,0,1.71,Card,552
80169,10439,30/03/2024 11:06,Preparing,Web,Delivery,,1.81,0.82,Card,330
80170,10443,22/03/2024 13:50,Preparing,Web,Delivery,,2.8,0.02,PayPal,240
80171,10312,20/03/2024 06:54,Cancelled,Mobile App,Pickup,3,0,0.92,Card,680
80172,10239,27/03/2024 14:24,Placed,Web,Pickup,,0,1.02,Mobile Wallet,989
80173,10495,14/03/2024 14:00,Placed,Mobile App,Pickup,3,0,0.13,PayPal,933
80174,10328,12/03/2024 21:14,Completed,Web,Pickup,3,0,0.3,Card,671
80175,10461,28/03/2024 07:23,Cancelled,Mobile App,Delivery,,3.04,1.44,Mobile Wallet,710
80176,10255,20/03/2024 01:11,Cancelled,Mobile App,Pickup,3,0,1.47,Mobile Wallet,978
80177,10363,16/03/2024 14:49,Preparing,Mobile App,Delivery,,3.72,1.34,Mobile Wallet,633
80178,10154,30/03/2024 22:17,Preparing,Mobile App,Delivery,,1.29,0.26,PayPal,93
80179,10372,16/03/2024 06:36,Placed,Web,Delivery,,2.07,1.49,PayPal,711
80180,10216,12/03/2024 20:36,Completed,Mobile App,Pickup,3,0,1.7,PayPal,58
80181,10028,22/03/2024 11:47,Preparing,Web,Delivery,,3.6,0.76,PayPal,544
80182,10212,07/03/2024 20:41,Preparing,Web,Delivery,,2.03,1.97,PayPal,81
80183,10074,04/03/2024 16:16,Cancelled,Mobile App,Pickup,2,0,1.26,Card,598
80184,10161,01/03/2024 05:08,Cancelled,Mobile App,Delivery,,1.63,1.55,Mobile Wallet,683
80185,10392,23/03/2024 06:44,Placed,Web,Delivery,,2.84,1.27,PayPal,560
80186,10220,01/03/2024 05:05,Placed,Web,Pickup,,0,1.46,Card,655
80187,10457,01/03/2024 19:34,Placed,Web,Pickup,2,0,0.45,PayPal,394
80188,10160,05/03/2024 16:11,Cancelled,Mobile App,Delivery,,1.5,1.65,PayPal,589
80189,10486,24/03/2024 16:17,Completed,Mobile App,Pickup,,0,1.78,Card,675
80190,10176,09/03/2024 13:48,Preparing,Mobile App,Pickup,3,0,0.04,Card,509
80191,10373,10/03/2024 14:40,Placed,Web,Delivery,,1.37,1.42,Card,361
80192,10193,28/03/2024 00:43,Placed,Web,Pickup,1,0,1.31,Card,100
80193,10025,19/03/2024 23:13,Cancelled,Mobile App,Delivery,,1.37,0.51,Mobile Wallet,374
80194,10079,29/03/2024 16:28,Placed,Mobile App,Delivery,,2.26,0.2,Mobile Wallet,426
80195,10139,20/03/2024 01:28,Placed,Web,Delivery,,1.85,1.57,PayPal,936
80196,10102,12/03/2024 23:15,Preparing,Mobile App,Delivery,,3.11,0.59,Card,826
80197,10281,22/03/2024 21:00,Completed,Web,Pickup,2,0,0.01,Mobile Wallet,987
80198,10046,27/03/2024 03:07,Cancelled,Web,Delivery,,3.85,1.56,Card,867
80199,10371,12/03/2024 15:30,Preparing,Mobile App,Delivery,,3.97,0.59,PayPal,550
80200,10026,08/03/2024 22:49,Placed,Mobile App,Delivery,,2.08,1.35,PayPal,843
80201,10379,05/03/2024 07:45,Placed,Web,Delivery,,3.56,1.33,Card,635
80202,10169,29/03/2024 07:10,Completed,Web,Pickup,,0,0.75,PayPal,844
80203,10094,19/03/2024 05:45,Cancelled,Mobile App,Delivery,,1.82,0.77,PayPal,144
80204,10410,06/03/2024 03:29,Preparing,Web,Pickup,2,0,1.96,Card,100
80205,10054,26/03/2024 21:26,Cancelled,Web,Pickup,,0,1.22,PayPal,380
80206,10314,06/03/2024 22:42,Cancelled,Mobile App,Delivery,,1.34,0.82,Card,102
80207,10033,01/03/2024 13:30,Preparing,Mobile App,Pickup,3,0,1.04,Mobile Wallet,380
80208,10359,20/03/2024 16:47,Preparing,Mobile App,Delivery,,2.04,1.35,PayPal,703
80209,10077,01/03/2024 12:43,Preparing,Mobile App,Delivery,,3.56,1.74,Card,283
80210,10385,11/03/2024 23:07,Completed,Mobile App,Pickup,3,0,0.1,Card,218
80211,10282,11/03/2024 16:40,Placed,Mobile App,Pickup,,0,0.89,Mobile Wallet,806
80212,10230,23/03/2024 16:26,Cancelled,Mobile App,Delivery,,1.36,0.99,Mobile Wallet,833
80213,10010,19/03/2024 08:39,Cancelled,Web,Delivery,,2.67,0,Card,284
80214,10406,30/03/2024 18:59,Cancelled,Mobile App,Pickup,2,0,0.73,Card,677
80215,10419,21/03/2024 16:23,Completed,Mobile App,Delivery,,3.15,0.73,PayPal,332
80216,10059,30/03/2024 23:42,Preparing,Web,Delivery,,2.02,1.66,PayPal,432
80217,10281,03/03/2024 02:00,Preparing,Mobile App,Pickup,1,0,0.28,Mobile Wallet,371
80218,10381,12/03/2024 13:45,Preparing,Web,Pickup,1,0,0.24,PayPal,745
80219,10111,16/03/2024 09:06,Placed,Mobile App,Pickup,2,0,0.09,Mobile Wallet,868
80220,10429,21/03/2024 12:04,Cancelled,Web,Delivery,,3.89,0.01,Mobile Wallet,932
80221,10025,24/03/2024 03:14,Preparing,Web,Pickup,,0,1.46,Card,152
80222,10054,23/03/2024 22:37,Cancelled,Mobile App,Pickup,3,0,1.96,Mobile Wallet,544
80223,10391,13/03/2024 10:50,Cancelled,Mobile App,Delivery,,3.91,0.91,Card,719
80224,10071,25/03/2024 22:21,Completed,Web,Pickup,3,0,0.4,Mobile Wallet,910
80225,10366,07/03/2024 00:54,Preparing,Mobile App,Pickup,3,0,1.42,PayPal,748
80226,10288,25/03/2024 07:09,Completed,Mobile App,Pickup,,0,1.62,Mobile Wallet,977
80227,10055,18/03/2024 08:00,Preparing,Web,Delivery,,3.01,0.4,Card,852
80228,10147,03/03/2024 19:45,Completed,Web,Pickup,2,0,1.51,Card,134
80229,10184,29/03/2024 00:57,Preparing,Mobile App,Pickup,1,0,0.48,Mobile Wallet,363
80230,10148,18/03/2024 08:47,Cancelled,Mobile App,Delivery,,3.87,1.95,PayPal,320
80231,10495,01/03/2024 14:09,Completed,Web,Delivery,,2.86,1.56,PayPal,494
80232,10425,29/03/2024 20:15,Completed,Web,Delivery,,3.33,1.93,PayPal,118
80233,10230,04/03/2024 09:20,Preparing,Web,Delivery,,3.21,0.24,Card,786
80234,10220,06/03/2024 22:04,Preparing,Mobile App,Pickup,3,0,0.01,PayPal,280
80235,10364,02/03/2024 19:37,Preparing,Mobile App,Delivery,,2.79,1.55,Mobile Wallet,891
80236,10316,27/03/2024 01:30,Completed,Web,Pickup,,0,1.57,PayPal,759
80237,10270,09/03/2024 08:50,Placed,Web,Delivery,,2.25,1.07,Card,465
80238,10179,10/03/2024 17:02,Completed,Mobile App,Delivery,,2.08,0.44,Mobile Wallet,965
80239,10272,06/03/2024 05:18,Completed,Mobile App,Pickup,1,0,0.48,Mobile Wallet,633
80240,10315,02/03/2024 19:33,Completed,Mobile App,Delivery,,3.75,1.89,PayPal,435
80241,10132,24/03/2024 12:33,Completed,Mobile App,Pickup,1,0,0.97,PayPal,774
80242,10460,15/03/2024 13:52,Placed,Web,Delivery,,1.5,1.91,Mobile Wallet,695
80243,10274,29/03/2024 12:46,Placed,Web,Delivery,,3.01,1.55,Mobile Wallet,405
80244,10218,10/03/2024 08:32,Cancelled,Web,Delivery,,3.24,0.31,PayPal,141
80245,10368,04/03/2024 23:35,Placed,Web,Pickup,1,0,0.36,PayPal,765
80246,10286,27/03/2024 04:00,Preparing,Mobile App,Delivery,,2.22,0.9,PayPal,236
80247,10222,18/03/2024 17:26,Placed,Web,Pickup,1,0,1.28,Mobile Wallet,471
80248,10033,04/03/2024 07:17,Completed,Web,Delivery,,1.87,1.37,Mobile Wallet,727
80249,10045,18/03/2024 08:36,Cancelled,Web,Pickup,,0,0.95,Mobile Wallet,333
80250,10113,18/03/2024 19:04,Completed,Web,Delivery,,1.89,1.77,Mobile Wallet,448
80251,10332,26/03/2024 04:35,Preparing,Web,Pickup,1,0,0.08,Mobile Wallet,406
80252,10306,14/03/2024 20:48,Preparing,Mobile App,Pickup,1,0,0.42,Mobile Wallet,173
80253,10436,08/03/2024 07:48,Preparing,Web,Delivery,,2.85,0.51,Card,199
80254,10093,25/03/2024 23:29,Cancelled,Web,Delivery,,1.87,0.13,Card,150
80255,10102,17/03/2024 06:05,Preparing,Web,Pickup,3,0,0.2,Mobile Wallet,975
80256,10036,15/03/2024 11:06,Cancelled,Mobile App,Delivery,,1.99,1.32,Mobile Wallet,651
80257,10300,26/03/2024 17:44,Completed,Mobile App,Delivery,,3.88,0.34,PayPal,70
80258,10127,30/03/2024 03:57,Cancelled,Mobile App,Delivery,,3.52,0.27,Mobile Wallet,58
80259,10170,21/03/2024 06:26,Completed,Mobile App,Pickup,,0,0.97,Card,39
80260,10090,13/03/2024 18:30,Preparing,Web,Delivery,,1.79,1.77,Card,885
80261,10373,01/03/2024 20:20,Placed,Mobile App,Delivery,,3.31,0.43,Card,568
80262,10283,30/03/2024 18:14,Preparing,Mobile App,Pickup,,0,0.78,Mobile Wallet,488
80263,10376,22/03/2024 03:34,Placed,Mobile App,Pickup,2,0,0.73,Card,921
80264,10340,28/03/2024 22:41,Preparing,Web,Delivery,,2.34,0.36,Mobile Wallet,177
80265,10338,23/03/2024 00:06,Completed,Web,Delivery,,1.66,0.98,Card,536
80266,10136,02/03/2024 22:45,Preparing,Mobile App,Pickup,2,0,0.78,PayPal,794
80267,10452,02/03/2024 19:35,Completed,Web,Delivery,,3.11,1.04,PayPal,338
80268,10428,18/03/2024 03:24,Cancelled,Mobile App,Pickup,2,0,1.18,Card,742
80269,10265,11/03/2024 03:27,Cancelled,Mobile App,Pickup,,0,1.63,PayPal,991
80270,10250,23/03/2024 20:08,Preparing,Mobile App,Pickup,1,0,0.33,Card,386
80271,10264,07/03/2024 20:06,Preparing,Web,Pickup,2,0,0.72,Mobile Wallet,371
80272,10419,11/03/2024 11:35,Cancelled,Mobile App,Delivery,,3.16,0.96,PayPal,971
80273,10246,27/03/2024 21:18,Preparing,Mobile App,Delivery,,1.07,0.09,Mobile Wallet,303
80274,10304,07/03/2024 03:09,Placed,Web,Delivery,,1.17,0.52,Card,785
80275,10265,13/03/2024 21:36,Placed,Web,Pickup,1,0,0.9,PayPal,852
80276,10445,10/03/2024 23:36,Cancelled,Web,Pickup,2,0,1.59,Card,693
80277,10320,16/03/2024 14:17,Cancelled,Web,Pickup,2,0,0.46,PayPal,547
80278,10068,01/03/2024 18:05,Preparing,Mobile App,Delivery,,3.48,1.21,Card,695
80279,10244,25/03/2024 04:27,Placed,Web,Delivery,,2.45,0.26,Mobile Wallet,541
80280,10277,30/03/2024 13:08,Cancelled,Mobile App,Delivery,,2.11,0.09,Mobile Wallet,894
80281,10220,22/03/2024 22:36,Cancelled,Mobile App,Delivery,,2.77,1.48,Mobile Wallet,957
80282,10295,20/03/2024 08:44,Preparing,Mobile App,Delivery,,2.43,0.47,Card,782
80283,10146,09/03/2024 14:27,Placed,Web,Pickup,3,0,1.16,Card,970
80284,10267,18/03/2024 01:37,Preparing,Mobile App,Delivery,,2.23,0.21,PayPal,55
80285,10334,25/03/2024 09:34,Cancelled,Mobile App,Pickup,3,0,1.22,Mobile Wallet,384
80286,10204,19/03/2024 19:21,Cancelled,Web,Delivery,,2.11,1.11,PayPal,150
80287,10158,07/03/2024 06:48,Placed,Web,Pickup,,0,0.89,Mobile Wallet,723
80288,10487,05/03/2024 13:31,Preparing,Mobile App,Delivery,,3.36,1.6,Mobile Wallet,263
80289,10357,08/03/2024 07:34,Cancelled,Web,Delivery,,3.41,1.65,PayPal,296
80290,10475,03/03/2024 21:59,Completed,Web,Pickup,1,0,0.74,Mobile Wallet,655
80291,10020,28/03/2024 22:36,Completed,Web,Pickup,,0,1.89,Card,17
80292,10328,01/03/2024 11:41,Preparing,Mobile App,Pickup,,0,0.39,Mobile Wallet,630
80293,10262,28/03/2024 23:57,Preparing,Web,Delivery,,2.08,1.31,Card,685
