store_id,trans_datetime,staff_id,payment_type,order_channel,loyalty_member_id,pos_receipt_id,time_range,month,line_number,product_id,quantity,unit_price,line_discount
1,2024-01-18 14:00:00,5005,Mobile Wallet,Click-and-Collect,,90936,12:00-18:00,Jan,4,966,3,2.46,0.5
1,2024-01-18 14:00:00,5005,Mobile Wallet,Click-and-Collect,,90936,12:00-18:00,Jan,3,696,2,5.24,0.0
4,2024-02-27 17:34:00,5001,Card,In-Store,,90906,12:00-18:00,Feb,2,937,4,2.14,0.1
4,2024-02-27 17:34:00,5001,Card,In-Store,,90906,12:00-18:00,Feb,5,221,2,4.96,0.1
1,2024-03-05 08:34:00,5002,Voucher,In-Store,,90763,06:00-12:00,Mar,5,575,3,4.86,0.5
1,2024-03-05 08:34:00,5002,Voucher,In-Store,,90763,06:00-12:00,Mar,3,343,3,3.12,0.25
1,2024-03-05 08:34:00,5002,Voucher,In-Store,,90763,06:00-12:00,Mar,2,960,1,2.64,0.25
1,2024-03-05 08:34:00,5002,Voucher,In-Store,,90763,06:00-12:00,Mar,2,835,1,2.5,0.1
5,2024-01-07 16:31:00,5007,Card,Click-and-Collect,3005.0,90409,12:00-18:00,Jan,5,371,2,5.99,0.1
5,2024-01-07 16:31:00,5007,Card,Click-and-Collect,3005.0,90409,12:00-18:00,Jan,1,688,3,3.47,0.5
5,2024-01-07 16:31:00,5007,Card,Click-and-Collect,3005.0,90409,12:00-18:00,Jan,2,269,1,3.29,0.5
5,2024-01-07 16:31:00,5007,Card,Click-and-Collect,3005.0,90409,12:00-18:00,Jan,1,875,1,2.5,0.5
4,2024-03-27 23:54:00,5001,Mobile Wallet,Click-and-Collect,,90506,18:00-24:00,Mar,2,94,1,5.37,0.1
2,2024-01-03 03:58:00,5007,Card,In-Store,,90812,00:00-06:00,Jan,4,697,4,4.18,0.5
2,2024-01-03 03:58:00,5007,Card,In-Store,,90812,00:00-06:00,Jan,4,494,1,3.76,0.1
2,2024-03-01 20:55:00,5002,Card,Click-and-Collect,3005.0,90611,18:00-24:00,Mar,1,480,3,5.87,0.0
2,2024-03-01 20:55:00,5002,Card,Click-and-Collect,3005.0,90611,18:00-24:00,Mar,5,142,4,3.4,0.5
2,2024-03-01 20:55:00,5002,Card,Click-and-Collect,3005.0,90611,18:00-24:00,Mar,2,404,1,2.87,0.25
2,2024-03-01 20:55:00,5002,Card,Click-and-Collect,3005.0,90611,18:00-24:00,Mar,2,605,1,2.53,0.5
2,2024-03-01 20:55:00,5002,Card,Click-and-Collect,3005.0,90611,18:00-24:00,Mar,4,749,3,1.67,0.5
3,2024-01-14 07:14:00,5007,Mobile Wallet,In-Store,,90699,06:00-12:00,Jan,1,907,3,4.96,0.25
3,2024-01-14 07:14:00,5007,Mobile Wallet,In-Store,,90699,06:00-12:00,Jan,4,907,3,3.22,0.0
3,2024-01-14 07:14:00,5007,Mobile Wallet,In-Store,,90699,06:00-12:00,Jan,3,912,3,6.0,0.1
1,2024-02-17 01:37:00,5003,Voucher,Click-and-Collect,3001.0,90301,00:00-06:00,Feb,5,446,2,3.54,0.25
1,2024-02-17 01:37:00,5003,Voucher,Click-and-Collect,3001.0,90301,00:00-06:00,Feb,3,207,1,5.06,0.0
1,2024-02-17 01:37:00,5003,Voucher,Click-and-Collect,3001.0,90301,00:00-06:00,Feb,3,329,1,1.86,0.25
1,2024-02-17 01:37:00,5003,Voucher,Click-and-Collect,3001.0,90301,00:00-06:00,Feb,1,224,4,5.98,0.0
2,2024-03-08 11:31:00,5008,Card,Click-and-Collect,,90781,06:00-12:00,Mar,5,183,1,5.42,0.25
2,2024-03-08 11:31:00,5008,Card,Click-and-Collect,,90781,06:00-12:00,Mar,4,139,4,4.02,0.5
4,2024-03-20 06:53:00,5005,Voucher,In-Store,3003.0,90624,06:00-12:00,Mar,5,204,2,3.18,0.1
4,2024-03-20 06:53:00,5005,Voucher,In-Store,3003.0,90624,06:00-12:00,Mar,3,938,2,2.73,0.25
4,2024-03-20 06:53:00,5005,Voucher,In-Store,3003.0,90624,06:00-12:00,Mar,3,247,2,3.19,0.25
4,2024-03-20 06:53:00,5005,Voucher,In-Store,3003.0,90624,06:00-12:00,Mar,2,869,3,2.67,0.25
4,2024-03-20 06:53:00,5005,Voucher,In-Store,3003.0,90624,06:00-12:00,Mar,4,488,1,5.56,0.1
3,2024-02-17 11:25:00,5009,Cash,Click-and-Collect,3002.0,90977,06:00-12:00,Feb,1,798,1,4.2,0.5
3,2024-02-17 11:25:00,5009,Cash,Click-and-Collect,3002.0,90977,06:00-12:00,Feb,1,539,1,3.26,0.5
3,2024-02-17 11:25:00,5009,Cash,Click-and-Collect,3002.0,90977,06:00-12:00,Feb,4,390,1,2.9,0.1
3,2024-02-19 15:34:00,5004,Mobile Wallet,In-Store,3005.0,90115,12:00-18:00,Feb,2,952,3,5.45,0.25
3,2024-02-19 15:34:00,5004,Mobile Wallet,In-Store,3005.0,90115,12:00-18:00,Feb,4,384,1,5.0,0.0
5,2024-03-25 15:12:00,5004,Cash,Click-and-Collect,3005.0,90060,12:00-18:00,Mar,1,247,1,1.89,0.5
5,2024-03-25 15:12:00,5004,Cash,Click-and-Collect,3005.0,90060,12:00-18:00,Mar,4,251,1,5.66,0.0
5,2024-03-25 15:12:00,5004,Cash,Click-and-Collect,3005.0,90060,12:00-18:00,Mar,3,150,3,3.57,0.1
5,2024-03-25 15:12:00,5004,Cash,Click-and-Collect,3005.0,90060,12:00-18:00,Mar,3,647,3,3.39,0.25
1,2024-02-06 05:48:00,5009,Card,In-Store,3004.0,90779,00:00-06:00,Feb,5,546,2,2.08,0.5
1,2024-02-06 05:48:00,5009,Card,In-Store,3004.0,90779,00:00-06:00,Feb,1,816,2,2.18,0.5
1,2024-03-10 00:07:00,5004,Mobile Wallet,In-Store,3002.0,90170,00:00-06:00,Mar,3,272,4,5.84,0.1
1,2024-03-10 00:07:00,5004,Mobile Wallet,In-Store,3002.0,90170,00:00-06:00,Mar,2,236,1,3.82,0.25
1,2024-03-10 00:07:00,5004,Mobile Wallet,In-Store,3002.0,90170,00:00-06:00,Mar,5,850,4,2.64,0.25
3,2024-02-24 14:56:00,5002,Mobile Wallet,In-Store,3003.0,90409,12:00-18:00,Feb,5,371,2,5.99,0.1
3,2024-02-24 14:56:00,5002,Mobile Wallet,In-Store,3003.0,90409,12:00-18:00,Feb,1,688,3,3.47,0.5
3,2024-02-24 14:56:00,5002,Mobile Wallet,In-Store,3003.0,90409,12:00-18:00,Feb,2,269,1,3.29,0.5
3,2024-02-24 14:56:00,5002,Mobile Wallet,In-Store,3003.0,90409,12:00-18:00,Feb,1,875,1,2.5,0.5
4,2024-03-12 13:13:00,5008,Voucher,In-Store,3005.0,90254,12:00-18:00,Mar,5,231,1,3.02,0.1
4,2024-03-12 13:13:00,5008,Voucher,In-Store,3005.0,90254,12:00-18:00,Mar,2,945,3,3.0,0.5
4,2024-03-12 13:13:00,5008,Voucher,In-Store,3005.0,90254,12:00-18:00,Mar,5,336,4,4.11,0.1
4,2024-03-12 13:13:00,5008,Voucher,In-Store,3005.0,90254,12:00-18:00,Mar,1,111,4,2.57,0.25
4,2024-03-12 13:13:00,5008,Voucher,In-Store,3005.0,90254,12:00-18:00,Mar,4,617,2,1.56,0.0
5,2024-03-05 23:14:00,5008,Mobile Wallet,Click-and-Collect,3004.0,90226,18:00-24:00,Mar,2,8,1,4.69,0.0
5,2024-03-05 23:14:00,5008,Mobile Wallet,Click-and-Collect,3004.0,90226,18:00-24:00,Mar,2,405,1,1.53,0.25
5,2024-03-05 23:14:00,5008,Mobile Wallet,Click-and-Collect,3004.0,90226,18:00-24:00,Mar,5,908,3,4.22,0.1
5,2024-03-05 23:14:00,5008,Mobile Wallet,Click-and-Collect,3004.0,90226,18:00-24:00,Mar,1,68,3,4.42,0.25
5,2024-03-17 11:45:00,5003,Card,Click-and-Collect,,90070,06:00-12:00,Mar,5,928,1,5.37,0.0
5,2024-03-17 11:45:00,5003,Card,Click-and-Collect,,90070,06:00-12:00,Mar,1,806,2,3.37,0.5
5,2024-03-04 07:57:00,5002,Card,Click-and-Collect,,90244,06:00-12:00,Mar,5,286,4,2.46,0.1
5,2024-03-04 07:57:00,5002,Card,Click-and-Collect,,90244,06:00-12:00,Mar,2,677,4,4.77,0.1
5,2024-03-04 07:57:00,5002,Card,Click-and-Collect,,90244,06:00-12:00,Mar,2,299,1,4.38,0.25
4,2024-02-02 22:27:00,5006,Mobile Wallet,In-Store,,90591,18:00-24:00,Feb,2,485,2,5.03,0.5
4,2024-02-02 22:27:00,5006,Mobile Wallet,In-Store,,90591,18:00-24:00,Feb,3,42,2,3.62,0.5
4,2024-02-02 22:27:00,5006,Mobile Wallet,In-Store,,90591,18:00-24:00,Feb,5,503,3,3.85,0.25
2,2024-02-01 05:22:00,5003,Voucher,In-Store,,90097,00:00-06:00,Feb,4,100,4,3.09,0.5
2,2024-02-01 05:22:00,5003,Voucher,In-Store,,90097,00:00-06:00,Feb,5,476,3,3.1,0.0
5,2024-02-04 03:55:00,5005,Cash,Click-and-Collect,,90885,00:00-06:00,Feb,1,747,1,4.53,0.0
5,2024-02-04 03:55:00,5005,Cash,Click-and-Collect,,90885,00:00-06:00,Feb,3,227,2,1.57,0.5
5,2024-02-04 03:55:00,5005,Cash,Click-and-Collect,,90885,00:00-06:00,Feb,5,488,4,5.89,0.25
3,2024-01-07 07:04:00,5002,Mobile Wallet,Click-and-Collect,3001.0,90413,06:00-12:00,Jan,2,746,3,5.1,0.0
3,2024-01-07 07:04:00,5002,Mobile Wallet,Click-and-Collect,3001.0,90413,06:00-12:00,Jan,2,926,3,3.83,0.5
4,2024-03-26 22:40:00,5001,Voucher,Click-and-Collect,3002.0,90197,18:00-24:00,Mar,3,722,1,1.71,0.1
4,2024-03-26 22:40:00,5001,Voucher,Click-and-Collect,3002.0,90197,18:00-24:00,Mar,3,195,4,2.13,0.1
5,2024-02-12 09:00:00,5006,Cash,Click-and-Collect,3005.0,90474,06:00-12:00,Feb,1,256,1,3.49,0.0
5,2024-02-12 09:00:00,5006,Cash,Click-and-Collect,3005.0,90474,06:00-12:00,Feb,5,424,1,2.34,0.25
5,2024-02-12 09:00:00,5006,Cash,Click-and-Collect,3005.0,90474,06:00-12:00,Feb,2,105,2,2.05,0.0
5,2024-02-12 09:00:00,5006,Cash,Click-and-Collect,3005.0,90474,06:00-12:00,Feb,5,457,3,4.99,0.5
5,2024-02-12 09:00:00,5006,Cash,Click-and-Collect,3005.0,90474,06:00-12:00,Feb,1,380,2,3.5,0.1
4,2024-03-17 12:51:00,5010,Mobile Wallet,In-Store,,90668,12:00-18:00,Mar,2,554,1,5.86,0.1
4,2024-03-17 12:51:00,5010,Mobile Wallet,In-Store,,90668,12:00-18:00,Mar,2,586,2,4.03,0.1
4,2024-03-17 12:51:00,5010,Mobile Wallet,In-Store,,90668,12:00-18:00,Mar,4,302,4,4.85,0.5
5,2024-02-15 14:26:00,5005,Mobile Wallet,In-Store,3003.0,90417,12:00-18:00,Feb,1,498,4,2.46,0.5
5,2024-02-15 14:26:00,5005,Mobile Wallet,In-Store,3003.0,90417,12:00-18:00,Feb,1,790,3,5.3,0.0
1,2024-01-12 05:26:00,5007,Voucher,In-Store,,90169,00:00-06:00,Jan,4,389,1,5.93,0.25
1,2024-01-12 05:26:00,5007,Voucher,In-Store,,90169,00:00-06:00,Jan,3,166,3,5.71,0.1
1,2024-01-12 05:26:00,5007,Voucher,In-Store,,90169,00:00-06:00,Jan,2,283,1,4.64,0.5
1,2024-01-12 05:26:00,5007,Voucher,In-Store,,90169,00:00-06:00,Jan,2,703,3,5.78,0.0
1,2024-02-18 16:57:00,5008,Cash,Click-and-Collect,,90293,12:00-18:00,Feb,2,434,4,2.2,0.25
2,2024-03-22 03:34:00,5010,Card,Click-and-Collect,3005.0,90992,00:00-06:00,Mar,1,60,1,4.87,0.0
2,2024-03-22 03:34:00,5010,Card,Click-and-Collect,3005.0,90992,00:00-06:00,Mar,3,440,2,3.73,0.25
5,2024-03-05 05:43:00,5001,Mobile Wallet,Click-and-Collect,3004.0,90599,00:00-06:00,Mar,2,489,2,1.76,0.0
5,2024-03-05 05:43:00,5001,Mobile Wallet,Click-and-Collect,3004.0,90599,00:00-06:00,Mar,1,123,4,5.05,0.0
5,2024-03-05 05:43:00,5001,Mobile Wallet,Click-and-Collect,3004.0,90599,00:00-06:00,Mar,4,511,4,5.98,0.5
5,2024-03-05 05:43:00,5001,Mobile Wallet,Click-and-Collect,3004.0,90599,00:00-06:00,Mar,5,394,1,5.49,0.1
1,2024-03-03 14:56:00,5005,Mobile Wallet,In-Store,,90071,12:00-18:00,Mar,4,610,1,4.54,0.1
1,2024-03-03 14:56:00,5005,Mobile Wallet,In-Store,,90071,12:00-18:00,Mar,4,544,1,4.25,0.1
1,2024-03-03 14:56:00,5005,Mobile Wallet,In-Store,,90071,12:00-18:00,Mar,3,899,4,5.4,0.25
4,2024-02-02 13:14:00,5001,Card,Click-and-Collect,3003.0,90123,12:00-18:00,Feb,5,965,2,4.11,0.0
1,2024-01-19 01:03:00,5005,Cash,In-Store,3005.0,90084,00:00-06:00,Jan,3,430,3,5.71,0.1
1,2024-01-19 01:03:00,5005,Cash,In-Store,3005.0,90084,00:00-06:00,Jan,3,384,2,1.63,0.0
1,2024-01-19 01:03:00,5005,Cash,In-Store,3005.0,90084,00:00-06:00,Jan,5,47,3,4.43,0.5
1,2024-01-19 01:03:00,5005,Cash,In-Store,3005.0,90084,00:00-06:00,Jan,4,485,1,2.89,0.5
4,2024-02-15 11:54:00,5004,Mobile Wallet,In-Store,3002.0,90245,06:00-12:00,Feb,4,272,4,2.09,0.25
4,2024-02-15 11:54:00,5004,Mobile Wallet,In-Store,3002.0,90245,06:00-12:00,Feb,3,671,1,5.89,0.0
4,2024-02-15 11:54:00,5004,Mobile Wallet,In-Store,3002.0,90245,06:00-12:00,Feb,3,117,2,2.36,0.1
5,2024-02-10 07:07:00,5009,Mobile Wallet,In-Store,3002.0,90324,06:00-12:00,Feb,1,952,1,1.54,0.0
5,2024-02-10 07:07:00,5009,Mobile Wallet,In-Store,3002.0,90324,06:00-12:00,Feb,3,884,2,5.01,0.5
5,2024-02-10 07:07:00,5009,Mobile Wallet,In-Store,3002.0,90324,06:00-12:00,Feb,1,122,4,4.85,0.0
4,2024-02-27 20:14:00,5007,Voucher,In-Store,3001.0,90551,18:00-24:00,Feb,1,219,3,2.1,0.25
4,2024-02-27 20:14:00,5007,Voucher,In-Store,3001.0,90551,18:00-24:00,Feb,5,296,2,5.01,0.5
4,2024-02-27 20:14:00,5007,Voucher,In-Store,3001.0,90551,18:00-24:00,Feb,2,406,1,4.01,0.0
4,2024-02-21 21:12:00,5007,Mobile Wallet,In-Store,,90901,18:00-24:00,Feb,5,251,3,2.78,0.5
4,2024-02-21 21:12:00,5007,Mobile Wallet,In-Store,,90901,18:00-24:00,Feb,5,316,4,1.6,0.5
2,2024-01-13 05:57:00,5004,Cash,In-Store,3004.0,90721,00:00-06:00,Jan,1,310,1,4.51,0.25
2,2024-01-13 05:57:00,5004,Cash,In-Store,3004.0,90721,00:00-06:00,Jan,4,236,3,1.82,0.0
2,2024-01-13 05:57:00,5004,Cash,In-Store,3004.0,90721,00:00-06:00,Jan,2,300,3,4.08,0.0
2,2024-01-13 05:57:00,5004,Cash,In-Store,3004.0,90721,00:00-06:00,Jan,2,420,3,2.22,0.5
2,2024-01-13 05:57:00,5004,Cash,In-Store,3004.0,90721,00:00-06:00,Jan,1,574,3,1.99,0.25
2,2024-01-13 05:57:00,5004,Cash,In-Store,3004.0,90721,00:00-06:00,Jan,4,649,1,5.37,0.0
2,2024-03-23 19:58:00,5002,Voucher,In-Store,3001.0,90962,18:00-24:00,Mar,5,900,2,2.69,0.0
2,2024-03-23 19:58:00,5002,Voucher,In-Store,3001.0,90962,18:00-24:00,Mar,5,375,2,2.4,0.5
2,2024-03-23 19:58:00,5002,Voucher,In-Store,3001.0,90962,18:00-24:00,Mar,2,368,1,2.48,0.5
2,2024-03-23 19:58:00,5002,Voucher,In-Store,3001.0,90962,18:00-24:00,Mar,4,761,1,3.84,0.5
3,2024-02-07 12:30:00,5009,Card,In-Store,3004.0,90160,12:00-18:00,Feb,2,279,3,4.22,0.25
3,2024-02-07 12:30:00,5009,Card,In-Store,3004.0,90160,12:00-18:00,Feb,2,142,3,3.15,0.1
3,2024-02-07 12:30:00,5009,Card,In-Store,3004.0,90160,12:00-18:00,Feb,4,5,3,4.41,0.25
4,2024-03-07 12:23:00,5005,Cash,Click-and-Collect,3002.0,90704,12:00-18:00,Mar,1,650,3,3.77,0.25
4,2024-03-07 12:23:00,5005,Cash,Click-and-Collect,3002.0,90704,12:00-18:00,Mar,4,623,2,1.81,0.0
3,2024-01-26 17:14:00,5004,Card,Click-and-Collect,3003.0,90095,12:00-18:00,Jan,1,650,4,5.23,0.0
3,2024-01-26 17:14:00,5004,Card,Click-and-Collect,3003.0,90095,12:00-18:00,Jan,1,59,2,5.78,0.0
2,2024-02-12 09:45:00,5007,Cash,Click-and-Collect,,90342,06:00-12:00,Feb,2,790,2,4.37,0.25
2,2024-02-12 09:45:00,5007,Cash,Click-and-Collect,,90342,06:00-12:00,Feb,1,55,4,2.73,0.0
2,2024-02-21 00:23:00,5007,Card,Click-and-Collect,3001.0,90760,00:00-06:00,Feb,1,453,4,4.02,0.0
2,2024-02-21 00:23:00,5007,Card,Click-and-Collect,3001.0,90760,00:00-06:00,Feb,4,432,1,4.86,0.5
2,2024-02-21 00:23:00,5007,Card,Click-and-Collect,3001.0,90760,00:00-06:00,Feb,4,115,2,5.6,0.1
2,2024-01-27 02:29:00,5008,Card,In-Store,3002.0,90968,00:00-06:00,Jan,5,905,2,3.96,0.25
2,2024-01-27 02:29:00,5008,Card,In-Store,3002.0,90968,00:00-06:00,Jan,5,222,1,1.96,0.1
2,2024-01-27 02:29:00,5008,Card,In-Store,3002.0,90968,00:00-06:00,Jan,5,855,2,1.59,0.0
3,2024-02-11 21:06:00,5009,Card,Click-and-Collect,,90566,18:00-24:00,Feb,3,152,4,2.07,0.25
3,2024-02-11 21:06:00,5009,Card,Click-and-Collect,,90566,18:00-24:00,Feb,1,394,3,4.38,0.25
3,2024-01-27 06:47:00,5004,Voucher,In-Store,3002.0,90921,06:00-12:00,Jan,2,956,1,5.55,0.1
3,2024-01-27 06:47:00,5004,Voucher,In-Store,3002.0,90921,06:00-12:00,Jan,3,731,4,5.99,0.25
3,2024-01-27 06:47:00,5004,Voucher,In-Store,3002.0,90921,06:00-12:00,Jan,1,557,1,2.31,0.25
3,2024-01-27 06:47:00,5004,Voucher,In-Store,3002.0,90921,06:00-12:00,Jan,5,41,4,4.68,0.25
3,2024-01-27 06:47:00,5004,Voucher,In-Store,3002.0,90921,06:00-12:00,Jan,1,135,2,1.52,0.25
1,2024-02-16 06:52:00,5010,Mobile Wallet,In-Store,3004.0,90683,06:00-12:00,Feb,5,106,3,5.01,0.5
1,2024-02-16 06:52:00,5010,Mobile Wallet,In-Store,3004.0,90683,06:00-12:00,Feb,1,204,4,5.82,0.25
4,2024-03-28 07:27:00,5003,Voucher,In-Store,,90768,06:00-12:00,Mar,4,159,2,5.39,0.1
4,2024-03-28 07:27:00,5003,Voucher,In-Store,,90768,06:00-12:00,Mar,5,521,3,4.03,0.1
1,2024-01-13 19:05:00,5003,Card,Click-and-Collect,3001.0,90026,18:00-24:00,Jan,2,184,3,5.02,0.5
1,2024-01-13 19:05:00,5003,Card,Click-and-Collect,3001.0,90026,18:00-24:00,Jan,1,635,3,5.62,0.1
2,2024-01-09 22:32:00,5004,Voucher,Click-and-Collect,3004.0,90274,18:00-24:00,Jan,4,164,1,3.22,0.0
2,2024-01-09 22:32:00,5004,Voucher,Click-and-Collect,3004.0,90274,18:00-24:00,Jan,4,815,4,1.86,0.5
4,2024-03-01 04:38:00,5001,Card,In-Store,3002.0,90228,00:00-06:00,Mar,2,205,4,3.07,0.1
4,2024-03-01 04:38:00,5001,Card,In-Store,3002.0,90228,00:00-06:00,Mar,4,523,2,3.51,0.5
4,2024-03-01 04:38:00,5001,Card,In-Store,3002.0,90228,00:00-06:00,Mar,4,769,2,1.74,0.5
1,2024-02-11 23:48:00,5003,Card,Click-and-Collect,,90025,18:00-24:00,Feb,1,676,2,3.29,0.25
1,2024-02-11 23:48:00,5003,Card,Click-and-Collect,,90025,18:00-24:00,Feb,1,881,3,3.22,0.0
2,2024-03-28 00:34:00,5004,Cash,Click-and-Collect,,90991,00:00-06:00,Mar,5,792,3,3.08,0.5
2,2024-03-28 00:34:00,5004,Cash,Click-and-Collect,,90991,00:00-06:00,Mar,1,826,3,4.86,0.25
2,2024-03-28 00:34:00,5004,Cash,Click-and-Collect,,90991,00:00-06:00,Mar,1,867,3,1.91,0.5
2,2024-03-28 00:34:00,5004,Cash,Click-and-Collect,,90991,00:00-06:00,Mar,4,590,2,2.97,0.25
2,2024-03-28 00:34:00,5004,Cash,Click-and-Collect,,90991,00:00-06:00,Mar,1,546,4,4.14,0.5
2,2024-03-02 03:06:00,5002,Card,Click-and-Collect,,90340,00:00-06:00,Mar,2,962,1,2.02,0.25
2,2024-03-02 03:06:00,5002,Card,Click-and-Collect,,90340,00:00-06:00,Mar,5,394,2,5.06,0.0
2,2024-03-02 03:06:00,5002,Card,Click-and-Collect,,90340,00:00-06:00,Mar,4,574,4,4.72,0.25
