store_id,trans_datetime,staff_id,payment_type,order_channel,loyalty_member_id,,pos_receipt_id
5,04/02/2024 03:55,5005,Cash,Click-and-Collect,,,90885
3,07/01/2024 07:04,5002,Mobile Wallet,Click-and-Collect,3001,,90413
4,26/03/2024 22:40,5001,Voucher,Click-and-Collect,3002,,90197
5,12/02/2024 09:00,5006,Cash,Click-and-Collect,3005,,90474
4,17/03/2024 12:51,5010,Mobile Wallet,In-Store,,,90668
5,15/02/2024 14:26,5005,Mobile Wallet,In-Store,3003,,90417
1,12/01/2024 05:26,5007,Voucher,In-Store,,,90169
1,18/02/2024 16:57,5008,Cash,Click-and-Collect,,,90293
2,22/03/2024 03:34,5010,Card,Click-and-Collect,3005,,90992
5,05/03/2024 05:43,5001,Mobile Wallet,Click-and-Collect,3004,,90599
1,03/03/2024 14:56,5005,Mobile Wallet,In-Store,,,90071
4,02/02/2024 13:14,5001,Card,Click-and-Collect,3003,,90123
1,19/01/2024 01:03,5005,Cash,In-Store,3005,,90084
4,15/02/2024 11:54,5004,Mobile Wallet,In-Store,3002,,90245
5,10/02/2024 07:07,5009,Mobile Wallet,In-Store,3002,,90324
4,27/02/2024 20:14,5007,Voucher,In-Store,3001,,90551
4,21/02/2024 21:12,5007,Mobile Wallet,In-Store,,,90901
2,13/01/2024 05:57,5004,Cash,In-Store,3004,,90721
2,23/03/2024 19:58,5002,Voucher,In-Store,3001,,90962
3,07/02/2024 12:30,5009,Card,In-Store,3004,,90160
4,07/03/2024 12:23,5005,Cash,Click-and-Collect,3002,,90704
3,26/01/2024 17:14,5004,Card,Click-and-Collect,3003,,90095
2,12/02/2024 09:45,5007,Cash,Click-and-Collect,,,90342
2,21/02/2024 00:23,5007,Card,Click-and-Collect,3001,,90760
2,27/01/2024 02:29,5008,Card,In-Store,3002,,90968
3,11/02/2024 21:06,5009,Card,Click-and-Collect,,,90566
3,27/01/2024 06:47,5004,Voucher,In-Store,3002,,90921
1,16/02/2024 06:52,5010,Mobile Wallet,In-Store,3004,,90683
4,28/03/2024 07:27,5003,Voucher,In-Store,,,90768
1,13/01/2024 19:05,5003,Card,Click-and-Collect,3001,,90026
2,09/01/2024 22:32,5004,Voucher,Click-and-Collect,3004,,90274
4,01/03/2024 04:38,5001,Card,In-Store,3002,,90228
1,11/02/2024 23:48,5003,Card,Click-and-Collect,,,90025
2,28/03/2024 00:34,5004,Cash,Click-and-Collect,,,90991
2,02/03/2024 03:06,5002,Card,Click-and-Collect,,,90340
4,01/03/2024 21:47,5006,Cash,In-Store,3001,,90595
1,20/02/2024 01:51,5002,Cash,Click-and-Collect,3004,,90747
5,12/01/2024 09:18,5001,Mobile Wallet,Click-and-Collect,,,90922
2,03/02/2024 17:36,5007,Card,Click-and-Collect,,,90533
1,29/01/2024 12:47,5006,Card,Click-and-Collect,3002,,90639
2,04/02/2024 10:53,5010,Mobile Wallet,Click-and-Collect,3002,,90317
5,07/03/2024 18:12,5009,Cash,Click-and-Collect,3002,,90131
2,18/01/2024 10:43,5006,Voucher,Click-and-Collect,3005,,90631
5,29/02/2024 11:33,5009,Cash,Click-and-Collect,3001,,90294
1,24/01/2024 16:46,5003,Cash,Click-and-Collect,3003,,90453
2,10/01/2024 04:13,5010,Card,Click-and-Collect,3002,,90291
1,22/03/2024 06:16,5006,Card,Click-and-Collect,,,90231
3,12/01/2024 20:11,5007,Card,Click-and-Collect,3002,,90487
5,01/03/2024 15:24,5002,Mobile Wallet,Click-and-Collect,3005,,90507
2,10/02/2024 00:07,5001,Card,In-Store,3002,,90798
4,25/03/2024 20:37,5007,Mobile Wallet,In-Store,3003,,90571
1,05/02/2024 06:19,5007,Cash,In-Store,3001,,90573
4,14/03/2024 12:23,5003,Card,In-Store,3005,,90835
2,08/02/2024 08:20,5007,Mobile Wallet,In-Store,3001,,90762
5,12/01/2024 02:32,5007,Mobile Wallet,In-Store,3004,,90785
3,20/03/2024 15:31,5005,Mobile Wallet,In-Store,3003,,90080
3,29/01/2024 01:05,5004,Voucher,In-Store,,,90915
4,05/01/2024 02:13,5002,Cash,In-Store,3001,,90711
2,20/02/2024 01:13,5002,Voucher,In-Store,,,90556
4,21/02/2024 19:45,5009,Mobile Wallet,In-Store,3004,,90927
4,09/01/2024 03:55,5001,Mobile Wallet,In-Store,3004,,90007
1,02/03/2024 11:00,5003,Card,In-Store,,,90552
4,13/03/2024 13:26,5010,Voucher,Click-and-Collect,3003,,90498
4,28/02/2024 12:29,5007,Card,In-Store,3001,,90861
2,20/01/2024 15:50,5003,Mobile Wallet,Click-and-Collect,,,90607
3,05/03/2024 05:49,5005,Voucher,In-Store,3002,,90888
1,18/03/2024 19:29,5010,Cash,In-Store,,,90217
2,23/03/2024 20:41,5009,Voucher,In-Store,,,90771
4,27/01/2024 23:11,5006,Mobile Wallet,Click-and-Collect,3004,,90020
1,16/01/2024 09:35,5006,Card,In-Store,,,90666
3,14/03/2024 00:29,5007,Cash,In-Store,3002,,90860
5,22/01/2024 01:46,5007,Cash,In-Store,,,90578
5,25/03/2024 22:28,5004,Voucher,Click-and-Collect,,,90172
5,26/03/2024 08:36,5007,Mobile Wallet,Click-and-Collect,,,90111
2,17/01/2024 01:28,5002,Card,In-Store,,,90965
1,25/03/2024 22:48,5003,Cash,In-Store,,,90714
2,08/03/2024 18:03,5009,Cash,In-Store,,,90802
1,15/02/2024 12:33,5008,Cash,Click-and-Collect,,,90519
5,30/03/2024 20:27,5008,Cash,In-Store,,,90109
4,08/03/2024 22:49,5007,Mobile Wallet,In-Store,,,90446
4,19/03/2024 17:09,5002,Mobile Wallet,Click-and-Collect,,,90447
1,02/01/2024 07:36,5001,Mobile Wallet,Click-and-Collect,,,90286
2,11/03/2024 20:14,5009,Voucher,Click-and-Collect,3004,,90625
2,03/01/2024 23:20,5003,Voucher,In-Store,,,90187
1,09/02/2024 00:13,5006,Cash,Click-and-Collect,,,90287
3,19/02/2024 13:14,5002,Mobile Wallet,In-Store,3001,,90248
5,11/01/2024 17:59,5003,Card,Click-and-Collect,,,90662
4,06/02/2024 09:08,5002,Cash,In-Store,,,90302
3,21/01/2024 20:00,5007,Voucher,In-Store,,,90378
3,07/01/2024 16:00,5009,Voucher,In-Store,3004,,90720
1,24/01/2024 09:46,5002,Mobile Wallet,In-Store,3004,,90739
1,08/01/2024 12:00,5007,Voucher,Click-and-Collect,,,90222
1,06/03/2024 01:08,5007,Card,In-Store,3005,,90853
5,27/03/2024 04:04,5007,Voucher,Click-and-Collect,,,90015
1,01/02/2024 18:47,5006,Cash,In-Store,3001,,90300
4,10/02/2024 10:47,5009,Mobile Wallet,In-Store,3004,,90894
3,14/03/2024 04:04,5006,Mobile Wallet,In-Store,,,90189
4,25/02/2024 01:34,5006,Cash,In-Store,,,90842
2,17/03/2024 07:27,5004,Mobile Wallet,In-Store,,,90153
2,20/02/2024 19:13,5005,Cash,In-Store,,,90572
3,13/02/2024 21:37,5008,Voucher,Click-and-Collect,3005,,90390
3,09/02/2024 17:14,5002,Voucher,Click-and-Collect,3002,,90583
5,23/03/2024 12:12,5006,Voucher,In-Store,3004,,90641
1,11/03/2024 11:20,5003,Voucher,Click-and-Collect,3005,,90178
2,25/02/2024 06:52,5005,Cash,In-Store,,,90706
1,14/03/2024 13:06,5010,Voucher,In-Store,,,90724
2,12/02/2024 09:31,5003,Mobile Wallet,In-Store,3003,,90807
3,28/03/2024 19:19,5007,Cash,In-Store,,,90931
5,25/01/2024 09:57,5004,Cash,Click-and-Collect,3004,,90610
5,23/02/2024 12:40,5001,Mobile Wallet,In-Store,,,90717
2,03/01/2024 08:14,5003,Mobile Wallet,In-Store,,,90083
1,04/01/2024 14:19,5004,Card,Click-and-Collect,3004,,90257
2,08/01/2024 14:33,5008,Voucher,In-Store,3002,,90591
5,30/03/2024 07:13,5009,Card,In-Store,3002,,90186
2,07/02/2024 17:22,5004,Mobile Wallet,In-Store,,,90482
2,10/03/2024 14:48,5010,Mobile Wallet,Click-and-Collect,3001,,90338
4,26/02/2024 00:32,5005,Voucher,Click-and-Collect,3003,,90038
5,24/03/2024 05:35,5003,Cash,In-Store,3005,,90994
4,08/03/2024 17:18,5009,Cash,In-Store,3003,,90474
2,18/02/2024 04:33,5004,Voucher,In-Store,3002,,90775
2,28/01/2024 13:08,5001,Voucher,Click-and-Collect,3004,,90563
2,20/02/2024 06:59,5010,Voucher,In-Store,3005,,90030
5,23/01/2024 21:24,5005,Mobile Wallet,In-Store,3003,,90015
2,26/02/2024 04:34,5004,Card,In-Store,,,90970
3,16/02/2024 16:31,5008,Card,In-Store,,,90723
5,30/01/2024 10:02,5002,Voucher,Click-and-Collect,3002,,90468
4,10/03/2024 05:41,5001,Cash,Click-and-Collect,,,90283
4,12/01/2024 13:58,5008,Mobile Wallet,In-Store,,,90290
3,13/02/2024 16:12,5006,Card,In-Store,,,90458
3,28/03/2024 09:09,5005,Card,In-Store,3001,,90956
3,28/02/2024 14:40,5006,Voucher,Click-and-Collect,,,90393
2,14/01/2024 16:56,5004,Cash,Click-and-Collect,3004,,90396
4,06/03/2024 15:19,5003,Cash,Click-and-Collect,,,90515
2,04/02/2024 08:52,5005,Mobile Wallet,Click-and-Collect,,,90539
1,03/03/2024 13:22,5004,Voucher,In-Store,3004,,90892
5,15/01/2024 02:05,5006,Voucher,Click-and-Collect,3001,,90639
4,29/02/2024 09:36,5006,Voucher,In-Store,3004,,90390
3,03/01/2024 01:55,5003,Mobile Wallet,In-Store,,,90037
2,17/01/2024 14:14,5004,Cash,In-Store,3005,,90765
4,12/03/2024 06:59,5009,Voucher,In-Store,,,90171
4,21/02/2024 06:30,5005,Mobile Wallet,In-Store,3002,,90816
4,22/01/2024 03:13,5005,Card,Click-and-Collect,3003,,90251
4,28/03/2024 18:55,5005,Voucher,Click-and-Collect,3001,,90180
2,06/01/2024 00:58,5003,Voucher,Click-and-Collect,3004,,90935
5,10/01/2024 08:52,5008,Card,Click-and-Collect,3003,,90262
2,27/03/2024 06:32,5004,Card,In-Store,3002,,90694
5,16/02/2024 11:12,5009,Voucher,Click-and-Collect,3005,,90307
2,28/02/2024 02:00,5006,Voucher,In-Store,3004,,90204
2,16/03/2024 05:36,5001,Cash,Click-and-Collect,3005,,90368
4,19/03/2024 08:30,5005,Cash,Click-and-Collect,,,90850
2,12/01/2024 12:05,5003,Card,Click-and-Collect,3004,,90764
3,28/03/2024 02:42,5002,Voucher,In-Store,3001,,90822
5,03/02/2024 16:09,5010,Card,Click-and-Collect,,,90644
1,29/02/2024 16:27,5003,Cash,Click-and-Collect,,,90594
4,23/01/2024 09:18,5010,Mobile Wallet,In-Store,,,90766
4,26/01/2024 15:21,5010,Mobile Wallet,Click-and-Collect,,,90514
5,16/02/2024 08:40,5006,Cash,Click-and-Collect,,,90991
1,17/02/2024 17:11,5003,Cash,Click-and-Collect,3001,,90480
3,01/03/2024 16:12,5007,Voucher,In-Store,3004,,90991
1,30/01/2024 21:42,5004,Cash,In-Store,3003,,90271
2,24/01/2024 20:33,5007,Cash,Click-and-Collect,,,90391
2,09/03/2024 03:29,5001,Card,In-Store,3003,,90026
1,23/01/2024 11:17,5008,Mobile Wallet,Click-and-Collect,3004,,90651
4,02/03/2024 04:07,5007,Card,Click-and-Collect,,,90120
2,30/03/2024 02:14,5010,Voucher,In-Store,,,90119
3,21/01/2024 12:31,5009,Card,In-Store,,,90465
3,28/02/2024 04:19,5008,Card,In-Store,,,90671
5,02/01/2024 16:15,5001,Voucher,In-Store,3003,,90707
1,06/03/2024 03:42,5003,Mobile Wallet,In-Store,3005,,90102
2,23/01/2024 00:44,5004,Voucher,In-Store,3001,,90408
5,07/01/2024 08:56,5004,Voucher,Click-and-Collect,3003,,90679
2,04/03/2024 00:27,5008,Voucher,In-Store,3002,,90129
1,08/02/2024 11:40,5008,Card,Click-and-Collect,3002,,90222
4,13/01/2024 23:40,5010,Cash,In-Store,3004,,90003
2,21/01/2024 07:04,5003,Card,Click-and-Collect,3005,,90113
2,09/01/2024 15:28,5004,Card,Click-and-Collect,,,90603
3,24/03/2024 12:09,5002,Cash,Click-and-Collect,3001,,90760
1,14/03/2024 03:29,5005,Card,Click-and-Collect,3004,,90797
3,03/02/2024 11:20,5008,Cash,Click-and-Collect,,,90045
1,04/01/2024 12:34,5001,Card,In-Store,,,90491
2,05/02/2024 13:36,5009,Card,In-Store,,,90730
2,07/03/2024 05:39,5003,Cash,Click-and-Collect,3005,,90623
4,06/01/2024 17:33,5001,Card,Click-and-Collect,3002,,90612
4,24/01/2024 19:59,5008,Mobile Wallet,In-Store,3003,,90813
2,12/02/2024 06:54,5010,Mobile Wallet,Click-and-Collect,,,90463
5,27/02/2024 14:10,5005,Cash,In-Store,3004,,90426
4,12/03/2024 07:32,5006,Card,In-Store,,,90384
2,20/03/2024 16:12,5008,Voucher,In-Store,,,90094
3,29/01/2024 04:03,5009,Mobile Wallet,In-Store,3002,,90832
2,09/02/2024 23:34,5003,Voucher,Click-and-Collect,3003,,90421
4,29/03/2024 00:13,5002,Mobile Wallet,In-Store,3004,,90615
1,08/01/2024 17:59,5010,Mobile Wallet,Click-and-Collect,3003,,90673
4,29/01/2024 18:02,5005,Card,In-Store,3001,,90377
5,21/03/2024 17:41,5007,Mobile Wallet,Click-and-Collect,3001,,90998
2,24/01/2024 20:11,5005,Voucher,In-Store,,,90185
2,07/01/2024 11:43,5004,Cash,Click-and-Collect,3003,,90186
2,29/01/2024 13:00,5005,Card,Click-and-Collect,,,90146
2,15/03/2024 19:54,5007,Voucher,In-Store,3001,,90430
5,27/01/2024 09:25,5010,Card,In-Store,,,90796
2,09/02/2024 16:05,5005,Mobile Wallet,Click-and-Collect,3001,,90773
2,07/03/2024 01:58,5008,Cash,In-Store,3001,,90678
3,03/02/2024 03:46,5003,Voucher,In-Store,3004,,90221
4,10/03/2024 15:24,5003,Card,In-Store,3002,,90695
2,14/01/2024 05:19,5009,Card,In-Store,3002,,90226
4,23/01/2024 01:06,5008,Mobile Wallet,In-Store,,,90786
4,20/03/2024 10:32,5002,Card,Click-and-Collect,3004,,90510
4,22/03/2024 04:19,5010,Mobile Wallet,In-Store,3003,,90721
2,16/01/2024 18:38,5005,Cash,Click-and-Collect,3001,,90020
2,06/02/2024 15:07,5006,Voucher,Click-and-Collect,3005,,90415
2,17/03/2024 04:39,5002,Cash,Click-and-Collect,,,90990
1,21/03/2024 02:39,5004,Mobile Wallet,In-Store,3004,,90091
4,28/01/2024 01:20,5007,Card,Click-and-Collect,,,90081
2,21/01/2024 04:31,5007,Card,Click-and-Collect,,,90798
2,10/01/2024 10:41,5004,Card,In-Store,3004,,90523
3,16/01/2024 18:51,5007,Mobile Wallet,In-Store,3002,,90106
3,01/01/2024 11:09,5009,Mobile Wallet,Click-and-Collect,3002,,90182
3,02/01/2024 07:04,5007,Voucher,Click-and-Collect,3005,,90659
4,28/03/2024 01:02,5008,Voucher,In-Store,3003,,90451
1,26/03/2024 18:51,5007,Card,Click-and-Collect,3004,,90606
1,23/03/2024 00:43,5001,Voucher,In-Store,3002,,90463
3,21/01/2024 04:23,5006,Mobile Wallet,In-Store,3005,,90661
2,18/02/2024 18:55,5009,Voucher,In-Store,3005,,90595
3,27/01/2024 03:36,5007,Card,In-Store,3001,,90620
1,02/02/2024 12:51,5005,Card,In-Store,3001,,90831
5,18/02/2024 11:28,5010,Voucher,In-Store,3003,,90662
3,26/01/2024 20:19,5006,Voucher,Click-and-Collect,3003,,90537
2,20/02/2024 19:38,5004,Voucher,Click-and-Collect,3004,,90419
2,02/01/2024 18:14,5005,Voucher,Click-and-Collect,3001,,90068
3,30/03/2024 12:17,5005,Card,In-Store,,,90259
3,13/01/2024 05:39,5006,Mobile Wallet,Click-and-Collect,,,90318
5,20/03/2024 03:33,5001,Card,In-Store,,,90573
2,24/01/2024 03:43,5009,Mobile Wallet,In-Store,,,90521
5,26/01/2024 23:52,5009,Cash,Click-and-Collect,,,90350
5,10/03/2024 12:38,5006,Voucher,Click-and-Collect,,,90080
1,14/02/2024 11:26,5010,Card,Click-and-Collect,3003,,90898
3,18/02/2024 10:49,5008,Card,Click-and-Collect,3005,,90186
1,11/01/2024 17:21,5003,Voucher,Click-and-Collect,3003,,90374
3,28/03/2024 11:34,5002,Cash,Click-and-Collect,3002,,90240
1,09/02/2024 19:20,5007,Card,Click-and-Collect,3003,,90377
2,16/02/2024 21:20,5001,Cash,In-Store,3003,,90515
1,05/01/2024 05:08,5009,Cash,In-Store,3004,,90142
1,31/01/2024 18:51,5009,Cash,Click-and-Collect,,,90568
2,01/02/2024 09:35,5006,Card,In-Store,,,90086
2,25/03/2024 08:00,5009,Card,Click-and-Collect,3002,,90094
5,11/03/2024 04:15,5002,Card,In-Store,,,90425
4,15/01/2024 01:07,5009,Voucher,Click-and-Collect,3001,,90084
2,05/01/2024 18:08,5002,Cash,In-Store,,,90811
2,11/03/2024 00:23,5004,Card,Click-and-Collect,3001,,90778
4,06/02/2024 11:33,5009,Voucher,Click-and-Collect,3005,,90020
1,30/03/2024 12:02,5003,Voucher,Click-and-Collect,3004,,90795
5,11/01/2024 02:14,5007,Mobile Wallet,In-Store,,,90430
3,30/01/2024 17:53,5003,Mobile Wallet,In-Store,3001,,90549
4,09/03/2024 14:38,5002,Voucher,Click-and-Collect,,,90002
4,29/01/2024 20:33,5010,Card,Click-and-Collect,3001,,90681
4,17/01/2024 18:29,5007,Voucher,Click-and-Collect,3005,,90977
3,29/01/2024 01:55,5009,Voucher,In-Store,,,90651
4,31/01/2024 14:08,5002,Mobile Wallet,Click-and-Collect,3004,,90808
1,19/01/2024 10:23,5004,Mobile Wallet,Click-and-Collect,3001,,90753
2,13/02/2024 11:13,5008,Mobile Wallet,In-Store,3001,,90347
1,11/02/2024 05:34,5005,Card,Click-and-Collect,3003,,90647
2,30/01/2024 16:39,5005,Cash,In-Store,3003,,90301
5,23/03/2024 20:16,5002,Mobile Wallet,Click-and-Collect,3004,,90956
5,25/02/2024 11:38,5007,Voucher,Click-and-Collect,3004,,90038
1,18/02/2024 20:29,5005,Mobile Wallet,In-Store,,,90280
5,25/01/2024 18:04,5001,Card,In-Store,3004,,90917
4,26/02/2024 11:16,5001,Cash,In-Store,,,90709
5,29/02/2024 06:49,5002,Mobile Wallet,Click-and-Collect,3002,,90745
1,27/01/2024 09:13,5001,Cash,In-Store,,,90301
5,01/03/2024 12:36,5005,Mobile Wallet,Click-and-Collect,,,90457
5,08/02/2024 07:46,5008,Mobile Wallet,In-Store,3001,,90458
4,12/03/2024 02:43,5005,Card,In-Store,3005,,90655
2,08/02/2024 07:49,5006,Mobile Wallet,Click-and-Collect,3003,,90526
2,11/03/2024 14:57,5003,Mobile Wallet,Click-and-Collect,3004,,90695
4,30/03/2024 08:03,5008,Mobile Wallet,Click-and-Collect,3005,,90798
3,19/03/2024 14:00,5009,Cash,In-Store,,,90158
1,02/03/2024 12:41,5003,Voucher,In-Store,3003,,90782
1,28/02/2024 12:56,5002,Cash,In-Store,3004,,90666
4,06/03/2024 03:30,5003,Card,In-Store,3001,,90512
5,02/01/2024 09:08,5009,Cash,In-Store,3002,,90794
5,05/02/2024 20:47,5004,Cash,Click-and-Collect,3003,,90205
1,17/03/2024 17:07,5002,Voucher,Click-and-Collect,3004,,90921
1,05/03/2024 04:14,5010,Voucher,Click-and-Collect,,,90727
5,31/01/2024 14:06,5001,Card,In-Store,3005,,90813
5,21/02/2024 05:37,5008,Mobile Wallet,In-Store,,,90243
5,03/03/2024 19:25,5009,Mobile Wallet,Click-and-Collect,3001,,90823
3,29/01/2024 18:24,5004,Voucher,Click-and-Collect,,,90317
2,17/03/2024 19:39,5001,Voucher,In-Store,3003,,90076
4,29/03/2024 08:17,5001,Voucher,Click-and-Collect,3003,,90697
4,08/02/2024 07:05,5010,Mobile Wallet,Click-and-Collect,,,90444
3,12/03/2024 14:48,5006,Mobile Wallet,Click-and-Collect,,,90169
3,17/02/2024 12:51,5007,Cash,In-Store,3001,,90971
2,07/03/2024 23:15,5006,Card,Click-and-Collect,3005,,90651
1,18/03/2024 00:56,5005,Mobile Wallet,In-Store,3005,,90547
2,26/02/2024 03:47,5009,Mobile Wallet,Click-and-Collect,3001,,90675
3,13/02/2024 06:19,5002,Mobile Wallet,In-Store,,,90084
1,07/03/2024 22:50,5001,Voucher,In-Store,3005,,90655
2,15/01/2024 19:11,5010,Cash,Click-and-Collect,,,90495
3,08/01/2024 13:33,5001,Card,Click-and-Collect,,,90162
1,14/02/2024 13:54,5010,Voucher,In-Store,,,90622
2,25/03/2024 03:27,5006,Card,Click-and-Collect,,,90999
2,07/02/2024 06:59,5005,Cash,In-Store,,,90248
3,15/02/2024 17:27,5005,Mobile Wallet,In-Store,,,90100
2,08/01/2024 19:04,5008,Card,Click-and-Collect,3003,,90986
1,23/03/2024 16:28,5010,Voucher,In-Store,,,90782
2,09/01/2024 21:07,5008,Voucher,In-Store,3002,,90901
5,18/01/2024 07:44,5005,Mobile Wallet,Click-and-Collect,3002,,90469
2,19/02/2024 21:27,5007,Voucher,Click-and-Collect,,,90052
2,30/03/2024 15:24,5007,Mobile Wallet,Click-and-Collect,,,90550
4,07/01/2024 18:14,5008,Mobile Wallet,In-Store,3003,,90783
4,05/03/2024 18:17,5009,Voucher,Click-and-Collect,3005,,90576
1,22/03/2024 04:13,5008,Mobile Wallet,Click-and-Collect,3002,,90517
4,31/01/2024 08:36,5002,Mobile Wallet,In-Store,3001,,90999
1,03/01/2024 04:00,5005,Cash,In-Store,3002,,90962
5,14/01/2024 07:38,5009,Card,In-Store,,,90042
1,27/02/2024 14:18,5008,Mobile Wallet,In-Store,3002,,90532
3,25/03/2024 04:43,5008,Cash,In-Store,3002,,90954
1,22/01/2024 05:47,5006,Cash,In-Store,3005,,90345
1,18/03/2024 23:38,5004,Mobile Wallet,In-Store,3005,,90836
1,15/02/2024 06:12,5002,Cash,Click-and-Collect,,,90598
5,12/02/2024 03:58,5007,Cash,In-Store,3005,,90592
2,11/01/2024 09:44,5010,Cash,Click-and-Collect,3002,,90645
1,13/01/2024 18:20,5007,Voucher,Click-and-Collect,3003,,90587
3,09/02/2024 14:01,5006,Voucher,Click-and-Collect,3004,,90429
4,11/03/2024 05:03,5003,Voucher,Click-and-Collect,,,90794
3,10/03/2024 08:55,5006,Card,Click-and-Collect,,,90532
5,02/03/2024 01:19,5005,Mobile Wallet,Click-and-Collect,3003,,90386
1,23/01/2024 09:17,5007,Card,In-Store,3004,,90363
4,16/01/2024 07:05,5006,Cash,Click-and-Collect,,,90286
4,24/01/2024 22:43,5005,Cash,Click-and-Collect,,,90722
5,13/02/2024 01:36,5002,Mobile Wallet,In-Store,3004,,90957
5,17/02/2024 21:04,5004,Card,In-Store,3004,,90839
4,21/01/2024 22:17,5002,Voucher,In-Store,,,90355
3,06/03/2024 11:50,5003,Mobile Wallet,In-Store,,,90207
2,02/02/2024 05:06,5006,Card,Click-and-Collect,3005,,90112
3,27/02/2024 10:17,5006,Cash,Click-and-Collect,3001,,90054
3,22/02/2024 14:01,5010,Cash,In-Store,3005,,90698
1,11/01/2024 16:21,5007,Voucher,Click-and-Collect,3003,,90669
2,28/02/2024 18:04,5010,Cash,Click-and-Collect,3001,,90329
1,22/02/2024 16:11,5004,Voucher,Click-and-Collect,,,90238
2,03/01/2024 15:42,5008,Card,Click-and-Collect,3003,,90904
5,21/02/2024 01:27,5006,Voucher,In-Store,,,90807
2,14/03/2024 02:35,5004,Mobile Wallet,In-Store,3001,,90010
5,30/01/2024 05:14,5002,Card,Click-and-Collect,3005,,90466
1,25/02/2024 06:20,5002,Card,In-Store,,,90480
2,08/03/2024 00:40,5007,Mobile Wallet,In-Store,,,90749
3,06/01/2024 11:06,5009,Mobile Wallet,In-Store,3003,,90810
1,03/02/2024 19:21,5007,Cash,Click-and-Collect,3003,,90528
4,06/01/2024 17:16,5006,Cash,In-Store,3004,,90144
5,29/03/2024 09:50,5009,Voucher,In-Store,,,90393
1,26/03/2024 17:50,5007,Card,Click-and-Collect,3001,,90597
4,21/01/2024 02:56,5009,Cash,In-Store,3005,,90064
3,10/02/2024 10:45,5003,Mobile Wallet,Click-and-Collect,3005,,90703
2,01/03/2024 05:36,5010,Mobile Wallet,In-Store,3001,,90630
4,19/03/2024 19:26,5002,Cash,Click-and-Collect,3002,,90466
3,03/01/2024 12:08,5009,Mobile Wallet,Click-and-Collect,3004,,90822
5,17/01/2024 22:43,5001,Cash,In-Store,,,90458
2,06/03/2024 17:48,5001,Cash,In-Store,3004,,90849
5,12/01/2024 20:25,5006,Cash,In-Store,3002,,90336
5,20/03/2024 23:21,5005,Card,In-Store,3004,,90501
4,29/03/2024 07:16,5002,Mobile Wallet,In-Store,3003,,90526
2,25/01/2024 04:00,5004,Voucher,Click-and-Collect,,,90741
5,20/01/2024 09:34,5002,Card,Click-and-Collect,,,90593
5,11/03/2024 18:03,5007,Card,In-Store,3005,,90062
5,13/03/2024 03:15,5009,Card,Click-and-Collect,3003,,90294
