online_order_id,online_customer_id,order_datetime,order_status,sales_channel,fulfilment_type,store_id,delivery_fee,discount_amount,payment_type,product_id,time_range
80085,10254,2024-03-11 23:19:00,Cancelled,Web,Pickup,2,0.0,1.06,Card,528,18:00-24:00
80086,10185,2024-03-18 14:31:00,Cancelled,Mobile App,Pickup,1,0.0,1.09,Card,826,12:00-18:00
80087,10391,2024-03-01 18:13:00,Placed,Web,Pickup,3,0.0,0.52,Card,626,18:00-24:00
80088,10473,2024-03-19 02:41:00,Completed,Mobile App,Delivery,4,2.27,0.8,Mobile Wallet,410,00:00-06:00
80089,10275,2024-03-13 15:04:00,Placed,Mobile App,Delivery,3,1.24,1.84,Card,436,12:00-18:00
80090,10275,2024-03-27 16:32:00,Placed,Mobile App,Pickup,1,0.0,1.4,Mobile Wallet,256,12:00-18:00
80091,10489,2024-03-03 15:14:00,Preparing,Web,Delivery,2,3.77,0.23,Mobile Wallet,610,12:00-18:00
80092,10312,2024-03-15 01:49:00,Preparing,Web,Delivery,5,1.04,0.27,Card,737,00:00-06:00
80093,10084,2024-03-24 19:15:00,Completed,Web,Pickup,3,0.0,0.74,Mobile Wallet,883,18:00-24:00
80094,10400,2024-03-02 08:03:00,Completed,Mobile App,Pickup,2,0.0,0.54,Card,797,06:00-12:00
80095,10135,2024-03-23 13:55:00,Cancelled,Mobile App,Delivery,4,1.17,1.72,Card,731,12:00-18:00
80096,10189,2024-03-12 14:39:00,Placed,Web,Delivery,4,1.69,1.02,Card,554,12:00-18:00
80097,10440,2024-03-12 03:06:00,Placed,Mobile App,Delivery,4,2.09,1.84,Card,157,00:00-06:00
80098,10477,2024-03-26 03:52:00,Cancelled,Web,Delivery,2,1.97,0.83,Mobile Wallet,478,00:00-06:00
80099,10164,2024-03-27 00:16:00,Completed,Web,Pickup,3,0.0,1.0,Card,789,00:00-06:00
80100,10092,2024-03-24 11:21:00,Placed,Mobile App,Delivery,2,1.21,0.93,PayPal,966,06:00-12:00
80101,10397,2024-03-04 22:21:00,Cancelled,Web,Pickup,2,0.0,0.74,PayPal,766,18:00-24:00
80102,10289,2024-03-22 02:43:00,Completed,Mobile App,Pickup,5,0.0,2.0,Card,30,00:00-06:00
80103,10376,2024-03-07 20:27:00,Placed,Mobile App,Delivery,5,1.07,1.08,Mobile Wallet,479,18:00-24:00
80104,10430,2024-03-16 05:55:00,Placed,Mobile App,Delivery,3,3.55,1.45,Card,578,00:00-06:00
80105,10106,2024-03-20 02:33:00,Cancelled,Web,Delivery,5,3.92,0.28,PayPal,473,00:00-06:00
80106,10048,2024-03-11 12:49:00,Cancelled,Mobile App,Delivery,4,2.38,1.5,Mobile Wallet,466,12:00-18:00
80107,10049,2024-03-30 00:00:00,Cancelled,Web,Delivery,5,2.78,0.12,Mobile Wallet,975,00:00-06:00
80108,10494,2024-03-11 18:37:00,Completed,Mobile App,Delivery,4,3.55,1.85,PayPal,768,18:00-24:00
80109,10359,2024-03-21 14:31:00,Completed,Web,Pickup,3,0.0,0.15,Card,71,12:00-18:00
80110,10070,2024-03-08 01:44:00,Placed,Web,Delivery,2,2.35,0.63,Card,21,00:00-06:00
80111,10275,2024-03-21 13:36:00,Completed,Mobile App,Pickup,2,0.0,0.53,Card,971,12:00-18:00
80112,10047,2024-03-14 20:17:00,Placed,Web,Delivery,5,3.51,0.66,Card,621,18:00-24:00
80113,10365,2024-03-17 04:33:00,Cancelled,Web,Delivery,4,3.03,0.52,Card,593,00:00-06:00
80114,10016,2024-03-26 07:14:00,Preparing,Web,Pickup,1,0.0,0.92,Card,733,06:00-12:00
80115,10063,2024-03-03 19:21:00,Preparing,Web,Delivery,1,1.59,0.8,Mobile Wallet,792,18:00-24:00
80116,10323,2024-03-27 12:03:00,Completed,Web,Delivery,1,1.07,0.13,Mobile Wallet,43,12:00-18:00
80117,10228,2024-03-05 04:27:00,Completed,Web,Delivery,2,1.13,0.92,Card,664,00:00-06:00
80118,10474,2024-03-23 13:54:00,Placed,Mobile App,Pickup,2,0.0,1.37,Card,444,12:00-18:00
80119,10182,2024-03-09 12:25:00,Completed,Mobile App,Delivery,4,2.34,0.3,Mobile Wallet,181,12:00-18:00
80120,10318,2024-03-30 11:00:00,Completed,Mobile App,Delivery,5,2.24,1.1,Card,846,06:00-12:00
80121,10045,2024-03-07 05:53:00,Cancelled,Web,Pickup,1,0.0,1.29,Mobile Wallet,903,00:00-06:00
80122,10128,2024-03-18 09:47:00,Completed,Mobile App,Delivery,4,2.63,0.97,Mobile Wallet,685,06:00-12:00
80123,10258,2024-03-13 07:23:00,Preparing,Web,Pickup,4,0.0,0.64,Card,500,06:00-12:00
80124,10016,2024-03-22 11:12:00,Completed,Web,Pickup,5,0.0,1.95,Card,902,06:00-12:00
80125,10127,2024-03-13 03:07:00,Placed,Web,Delivery,4,2.73,1.97,PayPal,738,00:00-06:00
80126,10182,2024-03-09 00:20:00,Preparing,Mobile App,Delivery,5,3.42,1.4,Mobile Wallet,729,00:00-06:00
80127,10015,2024-03-26 15:03:00,Preparing,Mobile App,Pickup,3,0.0,1.08,Card,227,12:00-18:00
80128,10252,2024-03-05 02:35:00,Placed,Web,Delivery,5,2.8,0.04,PayPal,485,00:00-06:00
80129,10001,2024-03-06 22:31:00,Completed,Web,Pickup,1,0.0,1.84,PayPal,465,18:00-24:00
80130,10031,2024-03-07 17:20:00,Preparing,Web,Delivery,1,3.54,1.72,Card,198,12:00-18:00
80131,10192,2024-03-16 07:36:00,Completed,Mobile App,Pickup,5,0.0,0.27,Card,757,06:00-12:00
80132,10375,2024-03-30 13:04:00,Completed,Web,Pickup,3,0.0,1.41,Mobile Wallet,199,12:00-18:00
80133,10356,2024-03-27 19:17:00,Preparing,Mobile App,Pickup,3,0.0,0.61,Mobile Wallet,726,18:00-24:00
80134,10151,2024-03-09 02:06:00,Placed,Mobile App,Delivery,1,3.55,1.54,Mobile Wallet,715,00:00-06:00
80135,10017,2024-03-28 09:58:00,Completed,Web,Delivery,3,2.92,0.21,PayPal,13,06:00-12:00
80136,10073,2024-03-11 19:57:00,Completed,Mobile App,Pickup,4,0.0,0.34,Card,989,18:00-24:00
80137,10421,2024-03-01 12:26:00,Completed,Web,Pickup,2,0.0,0.5,Card,67,12:00-18:00
80138,10180,2024-03-01 01:23:00,Placed,Mobile App,Pickup,4,0.0,0.88,PayPal,831,00:00-06:00
80139,10497,2024-03-19 20:13:00,Cancelled,Mobile App,Delivery,1,2.05,0.75,PayPal,783,18:00-24:00
80140,10404,2024-03-08 09:39:00,Cancelled,Web,Delivery,3,3.4,0.07,Card,462,06:00-12:00
80141,10164,2024-03-04 09:02:00,Completed,Web,Pickup,5,0.0,1.78,Card,636,06:00-12:00
80142,10375,2024-03-25 21:31:00,Placed,Mobile App,Delivery,2,2.78,1.23,PayPal,217,18:00-24:00
80143,10361,2024-03-20 15:07:00,Preparing,Mobile App,Delivery,5,1.47,0.2,Card,566,12:00-18:00
80144,10499,2024-03-19 15:02:00,Completed,Mobile App,Delivery,1,1.89,0.19,PayPal,609,12:00-18:00
80145,10293,2024-03-03 11:32:00,Completed,Web,Pickup,3,0.0,0.86,PayPal,290,06:00-12:00
80146,10422,2024-03-05 09:56:00,Placed,Web,Pickup,5,0.0,0.34,PayPal,811,06:00-12:00
80147,10042,2024-03-15 00:48:00,Cancelled,Mobile App,Pickup,5,0.0,0.98,Mobile Wallet,273,00:00-06:00
80148,10136,2024-03-30 05:05:00,Cancelled,Web,Delivery,2,2.11,0.76,Card,767,00:00-06:00
80149,10229,2024-03-12 23:35:00,Cancelled,Mobile App,Delivery,2,1.79,1.67,Mobile Wallet,413,18:00-24:00
80150,10032,2024-03-05 09:37:00,Placed,Mobile App,Delivery,3,3.42,0.83,Mobile Wallet,613,06:00-12:00
80151,10117,2024-03-18 14:49:00,Cancelled,Mobile App,Delivery,2,2.72,0.47,PayPal,27,12:00-18:00
80152,10041,2024-03-23 20:25:00,Preparing,Web,Pickup,5,0.0,1.9,PayPal,42,18:00-24:00
80153,10089,2024-03-10 15:26:00,Preparing,Web,Delivery,5,1.13,0.16,Mobile Wallet,600,12:00-18:00
80154,10223,2024-03-29 13:05:00,Preparing,Mobile App,Delivery,1,1.96,1.45,Card,357,12:00-18:00
80155,10045,2024-03-26 02:59:00,Completed,Mobile App,Pickup,5,0.0,1.04,Card,422,00:00-06:00
80156,10403,2024-03-19 20:40:00,Preparing,Web,Pickup,3,0.0,1.13,Mobile Wallet,466,18:00-24:00
80157,10389,2024-03-05 19:22:00,Placed,Mobile App,Delivery,4,3.6,1.76,PayPal,792,18:00-24:00
80158,10136,2024-03-27 00:48:00,Cancelled,Web,Pickup,1,0.0,0.34,PayPal,424,00:00-06:00
80159,10074,2024-03-19 00:18:00,Completed,Web,Pickup,1,0.0,0.1,PayPal,511,00:00-06:00
80160,10472,2024-03-01 22:05:00,Completed,Mobile App,Pickup,3,0.0,0.62,PayPal,135,18:00-24:00
80161,10440,2024-03-11 08:59:00,Preparing,Mobile App,Delivery,3,3.92,0.89,PayPal,997,06:00-12:00
80162,10138,2024-03-09 13:16:00,Cancelled,Web,Pickup,2,0.0,1.83,PayPal,566,12:00-18:00
80163,10380,2024-03-03 13:23:00,Preparing,Web,Pickup,1,0.0,0.62,Mobile Wallet,121,12:00-18:00
80164,10207,2024-03-24 20:39:00,Placed,Web,Delivery,2,1.58,1.67,Card,280,18:00-24:00
80165,10128,2024-03-21 18:33:00,Placed,Mobile App,Delivery,5,3.11,0.55,PayPal,565,18:00-24:00
80166,10259,2024-03-02 09:22:00,Preparing,Mobile App,Pickup,1,0.0,0.98,PayPal,792,06:00-12:00
80167,10091,2024-03-16 16:00:00,Preparing,Mobile App,Pickup,1,0.0,1.5,Mobile Wallet,744,12:00-18:00
80168,10047,2024-03-18 14:13:00,Placed,Web,Pickup,4,0.0,1.71,Card,552,12:00-18:00
80169,10439,2024-03-30 11:06:00,Preparing,Web,Delivery,1,1.81,0.82,Card,330,06:00-12:00
80170,10443,2024-03-22 13:50:00,Preparing,Web,Delivery,5,2.8,0.02,PayPal,240,12:00-18:00
80171,10312,2024-03-20 06:54:00,Cancelled,Mobile App,Pickup,2,0.0,0.92,Card,680,06:00-12:00
80172,10239,2024-03-27 14:24:00,Placed,Web,Pickup,2,0.0,1.02,Mobile Wallet,989,12:00-18:00
80173,10495,2024-03-14 14:00:00,Placed,Mobile App,Pickup,4,0.0,0.13,PayPal,933,12:00-18:00
80174,10328,2024-03-12 21:14:00,Completed,Web,Pickup,5,0.0,0.3,Card,671,18:00-24:00
80175,10461,2024-03-28 07:23:00,Cancelled,Mobile App,Delivery,2,3.04,1.44,Mobile Wallet,710,06:00-12:00
80176,10255,2024-03-20 01:11:00,Cancelled,Mobile App,Pickup,3,0.0,1.47,Mobile Wallet,978,00:00-06:00
80177,10363,2024-03-16 14:49:00,Preparing,Mobile App,Delivery,5,3.72,1.34,Mobile Wallet,633,12:00-18:00
80178,10154,2024-03-30 22:17:00,Preparing,Mobile App,Delivery,5,1.29,0.26,PayPal,93,18:00-24:00
80179,10372,2024-03-16 06:36:00,Placed,Web,Delivery,4,2.07,1.49,PayPal,711,06:00-12:00
80180,10216,2024-03-12 20:36:00,Completed,Mobile App,Pickup,2,0.0,1.7,PayPal,58,18:00-24:00
80181,10028,2024-03-22 11:47:00,Preparing,Web,Delivery,5,3.6,0.76,PayPal,544,06:00-12:00
80182,10212,2024-03-07 20:41:00,Preparing,Web,Delivery,2,2.03,1.97,PayPal,81,18:00-24:00
80183,10074,2024-03-04 16:16:00,Cancelled,Mobile App,Pickup,3,0.0,1.26,Card,598,12:00-18:00
80184,10161,2024-03-01 05:08:00,Cancelled,Mobile App,Delivery,4,1.63,1.55,Mobile Wallet,683,00:00-06:00
80185,10392,2024-03-23 06:44:00,Placed,Web,Delivery,3,2.84,1.27,PayPal,560,06:00-12:00
80186,10220,2024-03-01 05:05:00,Placed,Web,Pickup,4,0.0,1.46,Card,655,00:00-06:00
80187,10457,2024-03-01 19:34:00,Placed,Web,Pickup,5,0.0,0.45,PayPal,394,18:00-24:00
80188,10160,2024-03-05 16:11:00,Cancelled,Mobile App,Delivery,4,1.5,1.65,PayPal,589,12:00-18:00
80189,10486,2024-03-24 16:17:00,Completed,Mobile App,Pickup,1,0.0,1.78,Card,675,12:00-18:00
80190,10176,2024-03-09 13:48:00,Preparing,Mobile App,Pickup,2,0.0,0.04,Card,509,12:00-18:00
80191,10373,2024-03-10 14:40:00,Placed,Web,Delivery,2,1.37,1.42,Card,361,12:00-18:00
80192,10193,2024-03-28 00:43:00,Placed,Web,Pickup,1,0.0,1.31,Card,100,00:00-06:00
80193,10025,2024-03-19 23:13:00,Cancelled,Mobile App,Delivery,3,1.37,0.51,Mobile Wallet,374,18:00-24:00
80194,10079,2024-03-29 16:28:00,Placed,Mobile App,Delivery,1,2.26,0.2,Mobile Wallet,426,12:00-18:00
80195,10139,2024-03-20 01:28:00,Placed,Web,Delivery,5,1.85,1.57,PayPal,936,00:00-06:00
80196,10102,2024-03-12 23:15:00,Preparing,Mobile App,Delivery,5,3.11,0.59,Card,826,18:00-24:00
80197,10281,2024-03-22 21:00:00,Completed,Web,Pickup,2,0.0,0.01,Mobile Wallet,987,18:00-24:00
80198,10046,2024-03-27 03:07:00,Cancelled,Web,Delivery,5,3.85,1.56,Card,867,00:00-06:00
80199,10371,2024-03-12 15:30:00,Preparing,Mobile App,Delivery,2,3.97,0.59,PayPal,550,12:00-18:00
80200,10026,2024-03-08 22:49:00,Placed,Mobile App,Delivery,1,2.08,1.35,PayPal,843,18:00-24:00
80201,10379,2024-03-05 07:45:00,Placed,Web,Delivery,1,3.56,1.33,Card,635,06:00-12:00
80202,10169,2024-03-29 07:10:00,Completed,Web,Pickup,1,0.0,0.75,PayPal,844,06:00-12:00
80203,10094,2024-03-19 05:45:00,Cancelled,Mobile App,Delivery,2,1.82,0.77,PayPal,144,00:00-06:00
80204,10410,2024-03-06 03:29:00,Preparing,Web,Pickup,1,0.0,1.96,Card,100,00:00-06:00
80205,10054,2024-03-26 21:26:00,Cancelled,Web,Pickup,1,0.0,1.22,PayPal,380,18:00-24:00
80206,10314,2024-03-06 22:42:00,Cancelled,Mobile App,Delivery,3,1.34,0.82,Card,102,18:00-24:00
80207,10033,2024-03-01 13:30:00,Preparing,Mobile App,Pickup,1,0.0,1.04,Mobile Wallet,380,12:00-18:00
80208,10359,2024-03-20 16:47:00,Preparing,Mobile App,Delivery,5,2.04,1.35,PayPal,703,12:00-18:00
80209,10077,2024-03-01 12:43:00,Preparing,Mobile App,Delivery,2,3.56,1.74,Card,283,12:00-18:00
80210,10385,2024-03-11 23:07:00,Completed,Mobile App,Pickup,3,0.0,0.1,Card,218,18:00-24:00
80211,10282,2024-03-11 16:40:00,Placed,Mobile App,Pickup,4,0.0,0.89,Mobile Wallet,806,12:00-18:00
80212,10230,2024-03-23 16:26:00,Cancelled,Mobile App,Delivery,2,1.36,0.99,Mobile Wallet,833,12:00-18:00
80213,10010,2024-03-19 08:39:00,Cancelled,Web,Delivery,5,2.67,0.0,Card,284,06:00-12:00
80214,10406,2024-03-30 18:59:00,Cancelled,Mobile App,Pickup,2,0.0,0.73,Card,677,18:00-24:00
80215,10419,2024-03-21 16:23:00,Completed,Mobile App,Delivery,5,3.15,0.73,PayPal,332,12:00-18:00
80216,10059,2024-03-30 23:42:00,Preparing,Web,Delivery,5,2.02,1.66,PayPal,432,18:00-24:00
80217,10281,2024-03-03 02:00:00,Preparing,Mobile App,Pickup,4,0.0,0.28,Mobile Wallet,371,00:00-06:00
80218,10381,2024-03-12 13:45:00,Preparing,Web,Pickup,2,0.0,0.24,PayPal,745,12:00-18:00
80219,10111,2024-03-16 09:06:00,Placed,Mobile App,Pickup,4,0.0,0.09,Mobile Wallet,868,06:00-12:00
80220,10429,2024-03-21 12:04:00,Cancelled,Web,Delivery,4,3.89,0.01,Mobile Wallet,932,12:00-18:00
80221,10025,2024-03-24 03:14:00,Preparing,Web,Pickup,2,0.0,1.46,Card,152,00:00-06:00
80222,10054,2024-03-23 22:37:00,Cancelled,Mobile App,Pickup,1,0.0,1.96,Mobile Wallet,544,18:00-24:00
80223,10391,2024-03-13 10:50:00,Cancelled,Mobile App,Delivery,1,3.91,0.91,Card,719,06:00-12:00
80224,10071,2024-03-25 22:21:00,Completed,Web,Pickup,4,0.0,0.4,Mobile Wallet,910,18:00-24:00
80225,10366,2024-03-07 00:54:00,Preparing,Mobile App,Pickup,3,0.0,1.42,PayPal,748,00:00-06:00
80226,10288,2024-03-25 07:09:00,Completed,Mobile App,Pickup,4,0.0,1.62,Mobile Wallet,977,06:00-12:00
80227,10055,2024-03-18 08:00:00,Preparing,Web,Delivery,4,3.01,0.4,Card,852,06:00-12:00
80228,10147,2024-03-03 19:45:00,Completed,Web,Pickup,4,0.0,1.51,Card,134,18:00-24:00
80229,10184,2024-03-29 00:57:00,Preparing,Mobile App,Pickup,1,0.0,0.48,Mobile Wallet,363,00:00-06:00
80230,10148,2024-03-18 08:47:00,Cancelled,Mobile App,Delivery,1,3.87,1.95,PayPal,320,06:00-12:00
80231,10495,2024-03-01 14:09:00,Completed,Web,Delivery,1,2.86,1.56,PayPal,494,12:00-18:00
80232,10425,2024-03-29 20:15:00,Completed,Web,Delivery,4,3.33,1.93,PayPal,118,18:00-24:00
80233,10230,2024-03-04 09:20:00,Preparing,Web,Delivery,3,3.21,0.24,Card,786,06:00-12:00
80234,10220,2024-03-06 22:04:00,Preparing,Mobile App,Pickup,1,0.0,0.01,PayPal,280,18:00-24:00
80235,10364,2024-03-02 19:37:00,Preparing,Mobile App,Delivery,2,2.79,1.55,Mobile Wallet,891,18:00-24:00
80236,10316,2024-03-27 01:30:00,Completed,Web,Pickup,2,0.0,1.57,PayPal,759,00:00-06:00
